"";"year";"land";"date";"cdu";"csu";"spd";"fdp";"gruene";"linke";"afd";"wbt";"others";"level"
"1";"1949";"baden-wuerttemberg";1949-08-14;0,396228964764649;0;0,23876059797782;0,175701787646702;NA;NA;NA;0,706143315265484;0,189308649610829;"bundestagswahl"
"2";"1949";"bayern";1949-08-14;0;0,291996210357721;0,227474991131907;0,0854858773637407;NA;NA;NA;0,810734311747233;0,395042921146631;"bundestagswahl"
"3";"1949";"bremen";1949-08-14;0,168792062264492;0;0,343932338373949;0,129096802856532;NA;NA;NA;0,818715297797225;0,358178796505027;"bundestagswahl"
"4";"1949";"hamburg";1949-08-14;0,197456717367391;0;0,396350298858902;0,158343310022486;NA;NA;NA;0,811797787268645;0,24784967375122;"bundestagswahl"
"5";"1949";"hessen";1949-08-14;0,213523327309684;0;0,321406320039017;0,280546526346652;NA;NA;NA;0,773298410763877;0,184523826304646;"bundestagswahl"
"6";"1949";"niedersachsen";1949-08-14;0,176380621901891;0;0,334315716295327;0,0749089785544413;NA;NA;NA;0,777285843081519;0,41439468324834;"bundestagswahl"
"7";"1949";"nordrhein-westfalen";1949-08-14;0,36891505785364;0;0,313559580307448;0,0864420252721197;NA;NA;NA;0,795886080687932;0,231083336566792;"bundestagswahl"
"8";"1949";"rheinland-pfalz";1949-08-14;0,490462825065872;0;0,285636747706691;0,158306765505506;NA;NA;NA;0,796379623915652;0,0655936617219306;"bundestagswahl"
"9";"1949";"schleswig-holstein";1949-08-14;0,306907705747633;0;0,295675448657087;0,0740460380160996;NA;NA;NA;0,826690821953736;0,32337080757918;"bundestagswahl"
"10";"1953";"baden-wuerttemberg";1953-09-06;0,524471932602238;0;0,230120918104718;0,126956067100114;NA;NA;NA;0,817820887396388;0,11845108219293;"bundestagswahl"
"11";"1953";"bayern";1953-09-06;0;0,478438988354519;0,23341853327331;0,062183998757479;NA;NA;NA;0,858023055281166;0,225958479614692;"bundestagswahl"
"12";"1953";"bremen";1953-09-06;0,248332397529478;0;0,389797866367209;0,0751740595171252;NA;NA;NA;0,874006432945805;0,286695676586188;"bundestagswahl"
"13";"1953";"hamburg";1953-09-06;0,367303060520782;0;0,380581575364888;0,102569569511964;NA;NA;NA;0,873900054755693;0,149545794602366;"bundestagswahl"
"14";"1953";"hessen";1953-09-06;0,332084841639577;0;0,337394288199387;0,196541820104562;NA;NA;NA;0,867063969137347;0,133979050056473;"bundestagswahl"
"15";"1953";"niedersachsen";1953-09-06;0,352056130832281;0;0,300619796455374;0,0690086959833846;NA;NA;NA;0,887423903201272;0,27831537672896;"bundestagswahl"
"16";"1953";"nordrhein-westfalen";1953-09-06;0,488899882860921;0;0,318790863975943;0,0852729043361688;NA;NA;NA;0,859554881604116;0,107036348826967;"bundestagswahl"
"17";"1953";"rheinland-pfalz";1953-09-06;0,520981906235514;0;0,271880173237811;0,120992157660152;NA;NA;NA;0,859737409469439;0,0861457628665236;"bundestagswahl"
"18";"1953";"schleswig-holstein";1953-09-06;0,470814208224179;0;0,264631355662684;0,0454757252256184;NA;NA;NA;0,884515850217353;0,219078710887519;"bundestagswahl"
"19";"1957";"baden-wuerttemberg";1957-09-15;0,527580709547986;0;0,2582037647396;0,143695238290206;NA;NA;NA;0,84350165660899;0,0705202874222076;"bundestagswahl"
"20";"1957";"bayern";1957-09-15;0;0,571880414309582;0,264487286866891;0,0456411424289215;NA;NA;NA;0,876588074126765;0,117991156394605;"bundestagswahl"
"21";"1957";"bremen";1957-09-15;0,304224786753638;0;0,461623181133969;0,0584821876567988;NA;NA;NA;0,887101123595506;0,175669844455595;"bundestagswahl"
"22";"1957";"hamburg";1957-09-15;0,374493073045131;0;0,457995129342721;0,0939572487630592;NA;NA;NA;0,892012009118983;0,0735545488490884;"bundestagswahl"
"23";"1957";"hessen";1957-09-15;0,409382593464583;0;0,380295556387484;0,0853867045459129;NA;NA;NA;0,89058172434473;0,124935145602019;"bundestagswahl"
"24";"1957";"niedersachsen";1957-09-15;0,390794982141238;0;0,328036727870201;0,0591841497506934;NA;NA;NA;0,889918977400856;0,221984140237868;"bundestagswahl"
"25";"1957";"nordrhein-westfalen";1957-09-15;0,543630567602053;0;0,33489838989682;0,0626498048450465;NA;NA;NA;0,880073289090061;0,0588212376560807;"bundestagswahl"
"26";"1957";"rheinland-pfalz";1957-09-15;0,536970150157583;0;0,304476818123175;0,0975710964426107;NA;NA;NA;0,883417381046149;0,0609819352766318;"bundestagswahl"
"27";"1957";"saarland";1957-09-15;0,33283613777035;0,212610984392777;0,250973069783393;0,181603401253151;NA;NA;NA;0,89333925278535;0,0219764068003288;"bundestagswahl"
"28";"1957";"schleswig-holstein";1957-09-15;0,481040665525954;0;0,308369758659192;0,0561383184265784;NA;NA;NA;0,882672320348931;0,154451257388276;"bundestagswahl"
"29";"1961";"baden-wuerttemberg";1961-09-17;0,453376008524853;0;0,320561649188633;0,166455924488973;NA;NA;NA;0,848013664159384;0,0596064177975409;"bundestagswahl"
"30";"1961";"bayern";1961-09-17;0;0,549387985555577;0,301194358553968;0,0874491202964409;NA;NA;NA;0,87221951216534;0,0619685355940136;"bundestagswahl"
"31";"1961";"bremen";1961-09-17;0,26969159888941;0;0,496762337095234;0,151678610875652;NA;NA;NA;0,882180557743816;0,081867453139704;"bundestagswahl"
"32";"1961";"hamburg";1961-09-17;0,318841587384826;0;0,469146889138897;0,156864535488135;NA;NA;NA;0,885586597336576;0,0551469879881414;"bundestagswahl"
"33";"1961";"hessen";1961-09-17;0,348519412829938;0;0,4284283574919;0,152404792598297;NA;NA;NA;0,891895967496101;0,0706474370798652;"bundestagswahl"
"34";"1961";"niedersachsen";1961-09-17;0,389798006824831;0;0,387228360455547;0,131662420697167;NA;NA;NA;0,885192035224811;0,0913112120224553;"bundestagswahl"
"35";"1961";"nordrhein-westfalen";1961-09-17;0,475986121812779;0;0,372900532303956;0,117506944031495;NA;NA;NA;0,883964269525586;0,0336064018517698;"bundestagswahl"
"36";"1961";"rheinland-pfalz";1961-09-17;0,48949380511926;0;0,334950478011181;0,131769963750036;NA;NA;NA;0,881529725208551;0,0437857531195224;"bundestagswahl"
"37";"1961";"saarland";1961-09-17;0,490425441978989;0;0,33471357415085;0,129212969432842;NA;NA;NA;0,877265882168529;0,0456480144373189;"bundestagswahl"
"38";"1961";"schleswig-holstein";1961-09-17;0,417507844555314;0;0,363605957607862;0,138348029802709;NA;NA;NA;0,8804304177805;0,0805381680341155;"bundestagswahl"
"39";"1965";"baden-wuerttemberg";1965-09-19;0,498583742473149;0;0,33018082860555;0,130926163468305;NA;NA;NA;0,847669713108967;0,0403092654529968;"bundestagswahl"
"40";"1965";"bayern";1965-09-19;0;0,555971107638034;0,331378176443072;0,0733394770992278;NA;NA;NA;0,859414514454089;0,0393112388196666;"bundestagswahl"
