"Institut.Datum.";"Auftrag.geber";"BefragteZeitraum";"X";"row";"land";"type";"time";"time_helper";"new_row";"time_helper_new";"Befragte";"Befragte_final";"level";"partei";"stimmanteil";"institute";"se";"lwr";"upr";"datum";"institut";"abweichung";"jahr"
"GMS(04.01.17)";"Sat.1Bayern";"1.00828.12.–03.01.";"";30;"Bayern";"Poll";2017-01-04;"04.01.17";25;"04.01.2017";1,008;"1008";"Landesebene";"AfD";10;"gms";0,00945;8,1;11,9;2017-01-04;"gms";-8,6;2017
"GMS(04.01.17)";"Sat.1Bayern";"1.00828.12.–03.01.";"";30;"Bayern";"Poll";2017-01-04;"04.01.17";25;"04.01.2017";1,008;"1008";"Landesebene";"CDU";46;"gms";0,0157;42,9;49,1;2017-01-04;"gms";11;2017
"GMS(04.01.17)";"Sat.1Bayern";"1.00828.12.–03.01.";"";30;"Bayern";"Poll";2017-01-04;"04.01.17";25;"04.01.2017";1,008;"1008";"Landesebene";"Familie";NA;"gms";NA;NA;NA;2017-01-04;"gms";NA;2017
"GMS(04.01.17)";"Sat.1Bayern";"1.00828.12.–03.01.";"";30;"Bayern";"Poll";2017-01-04;"04.01.17";25;"04.01.2017";1,008;"1008";"Landesebene";"FDP";6;"gms";0,00748;4,5;7,5;2017-01-04;"gms";2;2017
"GMS(04.01.17)";"Sat.1Bayern";"1.00828.12.–03.01.";"";30;"Bayern";"Poll";2017-01-04;"04.01.17";25;"04.01.2017";1,008;"1008";"Landesebene";"FW";3;"gms";0,00537;1,9;4,1;2017-01-04;"gms";NA;2017
"GMS(04.01.17)";"Sat.1Bayern";"1.00828.12.–03.01.";"";30;"Bayern";"Poll";2017-01-04;"04.01.17";25;"04.01.2017";1,008;"1008";"Landesebene";"GRÜNE";10;"gms";0,00945;8,1;11,9;2017-01-04;"gms";3,1;2017
"GMS(04.01.17)";"Sat.1Bayern";"1.00828.12.–03.01.";"";30;"Bayern";"Poll";2017-01-04;"04.01.17";25;"04.01.2017";1,008;"1008";"Landesebene";"LINKE";4;"gms";0,00617;2,8;5,2;2017-01-04;"gms";-10,9;2017
"GMS(04.01.17)";"Sat.1Bayern";"1.00828.12.–03.01.";"";30;"Bayern";"Poll";2017-01-04;"04.01.17";25;"04.01.2017";1,008;"1008";"Landesebene";"NPD";NA;"gms";NA;NA;NA;2017-01-04;"gms";NA;2017
"GMS(04.01.17)";"Sat.1Bayern";"1.00828.12.–03.01.";"";30;"Bayern";"Poll";2017-01-04;"04.01.17";25;"04.01.2017";1,008;"1008";"Landesebene";"PIRATEN";NA;"gms";NA;NA;NA;2017-01-04;"gms";NA;2017
"GMS(04.01.17)";"Sat.1Bayern";"1.00828.12.–03.01.";"";30;"Bayern";"Poll";2017-01-04;"04.01.17";25;"04.01.2017";1,008;"1008";"Landesebene";"Rechte";NA;"gms";NA;NA;NA;2017-01-04;"gms";NA;2017
"GMS(04.01.17)";"Sat.1Bayern";"1.00828.12.–03.01.";"";30;"Bayern";"Poll";2017-01-04;"04.01.17";25;"04.01.2017";1,008;"1008";"Landesebene";"REPNPD";NA;"gms";NA;NA;NA;2017-01-04;"gms";NA;2017
"GMS(04.01.17)";"Sat.1Bayern";"1.00828.12.–03.01.";"";30;"Bayern";"Poll";2017-01-04;"04.01.17";25;"04.01.2017";1,008;"1008";"Landesebene";"Sonst.";4;"gms";0,00617;2,8;5,2;2017-01-04;"gms";-1;2017
"GMS(04.01.17)";"Sat.1Bayern";"1.00828.12.–03.01.";"";30;"Bayern";"Poll";2017-01-04;"04.01.17";25;"04.01.2017";1,008;"1008";"Landesebene";"Sonstige";NA;"gms";NA;NA;NA;2017-01-04;"gms";NA;2017
"GMS(04.01.17)";"Sat.1Bayern";"1.00828.12.–03.01.";"";30;"Bayern";"Poll";2017-01-04;"04.01.17";25;"04.01.2017";1,008;"1008";"Landesebene";"SPD";17;"gms";0,01183;14,7;19,3;2017-01-04;"gms";NA;2017
