"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"27.09.2009";"Â";"33,8 %";"23,0 %";"10,7 %";"14,6 %";"11,9 %";"6,0 %";"Â";"Bundestagswahl";"Bundestagswahl";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"22.09.2009";"Â";"35,0 %";"24,0 %";"11,0 %";"13,5 %";"11,5 %";"5,0 %";"Â";"1.200";"14.09.â€“21.09.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"15.09.2009";"Â";"36,0 %";"22,5 %";"12,0 %";"12,5 %";"12,0 %";"5,0 %";"Â";NA;"02.09.â€“10.09.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"09.09.2009";"Â";"35,0 %";"22,5 %";"13,0 %";"13,0 %";"11,5 %";"5,0 %";"Â";NA;"26.08.â€“02.09.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"01.09.2009";"Â";"35,5 %";"23,0 %";"13,5 %";"14,0 %";"9,5 %";"4,5 %";"Â";NA;"19.08.â€“26.08.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"18.08.2009";"Â";"36,5 %";"23,0 %";"13,0 %";"14,5 %";"9,0 %";"4,0 %";"Â";NA;"01.08.â€“12.08.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"21.07.2009";"Â";"36,5 %";"24,0 %";"12,0 %";"13,5 %";"10,0 %";"4,0 %";"Â";"â‰ˆ1.800";"06.07.â€“17.07.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"16.06.2009";"Â";"36,0 %";"24,5 %";"11,5 %";"14,5 %";"9,5 %";"4,0 %";"Â";"â‰ˆ2.000";"29.05.â€“11.06.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"19.05.2009";"Â";"36,5 %";"26,0 %";"10,5 %";"13,5 %";"9,5 %";"4,0 %";"Â";NA;"02.05.â€“14.05.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"21.04.2009";"Â";"37,5 %";"24,5 %";"10,5 %";"13,5 %";"10,0 %";"4,0 %";"Â";NA;"03.04.â€“17.04.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"24.03.2009";"Â";"34,8 %";"26,1 %";"10,5 %";"14,5 %";"10,0 %";"4,1 %";"Â";"â‰ˆ2.000";"01.03.â€“14.03.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"24.02.2009";"Â";"35,6 %";"24,7 %";"11,0 %";"14,8 %";"10,8 %";"3,1 %";"Â";"â‰ˆ2.000";"09.02.â€“18.02.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"27.01.2009";"Â";"36,1 %";"26,9 %";"9,6 %";"12,1 %";"11,5 %";"3,8 %";"Â";"â‰ˆ2.000";"10.01.â€“22.01.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"17.12.2008";"Â";"36,9 %";"25,9 %";"9,7 %";"11,3 %";"12,5 %";"3,7 %";"Â";NA;"01.12.â€“11.12.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"19.11.2008";"Â";"36,1 %";"26,6 %";"10,8 %";"11,2 %";"11,3 %";"4,0 %";"Â";NA;"01.11.â€“12.11.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"21.10.2008";"Â";"35,5 %";"25,8 %";"10,3 %";"12,2 %";"12,6 %";"3,6 %";"Â";NA;"04.10.â€“16.10.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
"17.09.2008";"Â";"36,2 %";"26,6 %";"10,3 %";"11,3 %";"11,5 %";"4,1 %";"Â";NA;"01.09.â€“11.09.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2009.htm"
