"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"PIRATEN";"AfD";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"22.09.2013";"Â";"41,5 %";"25,7 %";"8,4 %";"4,8 %";"8,6 %";"2,2 %";"4,7 %";"4,0 %";"Â";"Bundestagswahl";"Bundestagswahl";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"20.09.2013";"Â";"39,5 %";"27,0 %";"9,0 %";"5,5 %";"9,0 %";"2,0 %";"4,5 %";"3,5 %";"Â";"1.070";"16.09.â€“19.09.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"18.09.2013";"Â";"39,0 %";"26,0 %";"11,0 %";"6,0 %";"9,0 %";"2,0 %";"3,5 %";"3,5 %";"Â";"1.269";"03.09.â€“13.09.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"04.09.2013";"Â";"40,0 %";"25,0 %";"12,5 %";"6,0 %";"7,5 %";"2,5 %";"3,0 %";"3,5 %";"Â";"1.548";"20.08.â€“31.08.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"21.08.2013";"Â";"39,0 %";"24,5 %";"13,5 %";"7,0 %";"7,0 %";"2,0 %";"3,0 %";"4,0 %";"Â";"1.553";"03.08.â€“15.08.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"12.07.2013";"Â";"40,0 %";"25,5 %";"12,5 %";"6,5 %";"6,0 %";"2,0 %";"3,5 %";"4,0 %";"Â";"1.583";"01.07.â€“11.07.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"19.06.2013";"Â";"38,0 %";"26,0 %";"14,0 %";"6,0 %";"7,0 %";"2,0 %";"3,0 %";"4,0 %";"Â";"1.490";"01.06.â€“14.06.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"22.05.2013";"Â";"39,0 %";"27,0 %";"13,0 %";"6,0 %";"6,0 %";"2,5 %";"3,5 %";"3,0 %";"Â";"1.503";"04.05.â€“17.05.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"03.05.2013";"Â";"38,5 %";"26,0 %";"15,0 %";"5,5 %";"6,0 %";"3,0 %";"3,5 %";"2,5 %";"Â";"?.???";"15.04.â€“30.04.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"17.04.2013";"Â";"38,5 %";"28,0 %";"15,0 %";"5,0 %";"7,0 %";"3,0 %";"â€“";"3,5 %";"Â";"1.548";"27.03.â€“12.04.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"20.03.2013";"Â";"39,5 %";"26,5 %";"15,5 %";"6,0 %";"6,0 %";"2,5 %";"â€“";"4,0 %";"Â";"1.5??";"01.03.â€“14.03.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"20.02.2013";"Â";"39,0 %";"27,0 %";"15,0 %";"6,0 %";"6,5 %";"3,0 %";"â€“";"3,5 %";"Â";NA;"01.02.â€“14.02.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"23.01.2013";"Â";"39,0 %";"28,0 %";"14,0 %";"5,0 %";"7,0 %";"3,0 %";"â€“";"4,0 %";"Â";"1.653";"05.01.â€“18.01.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"19.12.2012";"Â";"37,5 %";"30,0 %";"14,0 %";"4,5 %";"6,5 %";"3,5 %";"â€“";"4,0 %";"Â";"1.611";"01.12.â€“13.12.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"21.11.2012";"Â";"37,5 %";"31,0 %";"12,5 %";"4,0 %";"6,5 %";"4,0 %";"â€“";"4,5 %";"Â";"1.606";"26.10.â€“08.11.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"17.10.2012";"Â";"35,5 %";"31,0 %";"14,0 %";"4,5 %";"6,0 %";"5,0 %";"â€“";"4,0 %";"Â";"1.636";"28.09.â€“12.10.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"26.09.2012";"Â";"34,0 %";"30,0 %";"14,0 %";"5,5 %";"6,5 %";"5,5 %";"â€“";"4,5 %";"Â";"1.558";"03.09.â€“17.09.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"22.08.2012";"Â";"35,0 %";"28,0 %";"15,0 %";"5,5 %";"6,0 %";"6,5 %";"â€“";"4,0 %";"Â";"1.642";"01.08.â€“13.08.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"18.07.2012";"Â";"36,0 %";"27,0 %";"14,0 %";"6,0 %";"6,0 %";"6,5 %";"â€“";"4,5 %";"Â";"1.615";"01.07.â€“12.07.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"20.06.2012";"Â";"34,0 %";"28,0 %";"15,5 %";"5,5 %";"5,0 %";"7,5 %";"â€“";"4,5 %";"Â";"1.617";"04.06.â€“15.06.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"23.05.2012";"Â";"35,5 %";"30,0 %";"14,0 %";"4,5 %";"5,5 %";"7,0 %";"â€“";"3,5 %";"Â";"1.608";"05.05.â€“19.05.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"18.04.2012";"Â";"34,5 %";"28,0 %";"14,0 %";"3,5 %";"7,0 %";"10,0 %";"â€“";"3,0 %";"Â";"1.597";"01.04.â€“13.04.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"21.03.2012";"Â";"35,0 %";"30,0 %";"16,0 %";"3,5 %";"7,0 %";"5,0 %";"â€“";"3,5 %";"Â";"1.613";"03.03.â€“15.03.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"22.02.2012";"Â";"36,0 %";"28,0 %";"15,5 %";"4,5 %";"7,5 %";"5,0 %";"â€“";"3,5 %";"Â";"1.761";"04.02.â€“16.02.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
"25.01.2012";"Â";"35,0 %";"29,0 %";"16,5 %";"4,0 %";"7,0 %";"4,0 %";"â€“";"4,5 %";"Â";"1.904";"07.01.â€“21.01.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2013.htm"
