"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"AfD";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"20.06.2018";"Â";"33,0 %";"21,0 %";"11,0 %";"9,5 %";"9,5 %";"13,0 %";"3,0 %";"Â";"1.279";"01.06.â€“13.06.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"17.05.2018";"Â";"34,0 %";"20,0 %";"11,0 %";"9,0 %";"10,0 %";"11,5 %";"4,5 %";"Â";"1.253";"24.04.â€“08.05.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"25.04.2018";"Â";"34,0 %";"20,5 %";"11,0 %";"10,0 %";"9,0 %";"12,0 %";"3,5 %";"Â";"1.279";"03.04.â€“17.04.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"21.03.2018";"Â";"34,0 %";"19,0 %";"11,0 %";"10,0 %";"10,0 %";"12,5 %";"3,5 %";"Â";"1.256";"02.03.â€“15.03.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"23.02.2018";"Â";"32,0 %";"17,5 %";"12,0 %";"11,0 %";"9,5 %";"13,0 %";"5,0 %";"Â";"1.271";"02.02.â€“15.02.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"25.01.2018";"Â";"34,0 %";"21,0 %";"10,5 %";"10,0 %";"8,5 %";"12,0 %";"4,0 %";"Â";"1.221";"05.01.â€“18.01.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"21.12.2017";"Â";"34,0 %";"21,0 %";"11,5 %";"10,0 %";"9,0 %";"11,0 %";"3,5 %";"Â";"1.443";"01.12.â€“14.12.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"30.11.2017";"Â";"33,0 %";"21,5 %";"11,0 %";"10,0 %";"9,0 %";"11,0 %";"4,5 %";"Â";"1.299";"22.11.â€“27.11.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"25.10.2017";"Â";"33,0 %";"20,5 %";"9,5 %";"12,0 %";"9,0 %";"12,0 %";"4,0 %";"Â";"1.454";"07.10.â€“19.10.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"24.09.2017";"Â";"32,9 %";"20,5 %";"8,9 %";"10,7 %";"9,2 %";"12,6 %";"5,0 %";"Â";"Bundestagswahl";"Bundestagswahl";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"22.09.2017";"Â";"36,0 %";"22,0 %";"8,0 %";"10,5 %";"9,5 %";"10,0 %";"4,0 %";"Â";"1.074";"13.09.â€“20.09.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"19.09.2017";"Â";"36,5 %";"22,0 %";"8,0 %";"11,0 %";"9,0 %";"10,0 %";"3,5 %";"Â";"1.083";"06.09.â€“14.09.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"06.09.2017";"Â";"38,5 %";"24,0 %";"7,5 %";"10,0 %";"8,0 %";"8,0 %";"4,0 %";"Â";"1.043";"22.08.â€“31.08.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"22.08.2017";"Â";"39,5 %";"24,0 %";"7,5 %";"10,0 %";"8,0 %";"7,0 %";"4,0 %";"Â";"1.421";"04.08.â€“17.08.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"18.07.2017";"Â";"39,5 %";"25,0 %";"7,0 %";"9,0 %";"9,0 %";"7,0 %";"3,5 %";"Â";"1.403";"01.07.â€“12.07.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"20.06.2017";"Â";"40,0 %";"24,0 %";"7,0 %";"10,5 %";"8,5 %";"6,5 %";"3,5 %";"Â";"1.437";"01.06.â€“15.06.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
"26.05.2017";"Â";"37,0 %";"26,0 %";"8,0 %";"9,0 %";"8,0 %";"8,0 %";"4,0 %";"Â";"1.457";"05.05.â€“19.05.";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach.htm"
