"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"REP/DVU";"Sonstige";"institut";"url"
"22.12.2000";"Â";"37 %";"39 %";"7 %";"6 %";"6 %";"â€“";"5 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"15.12.2000";"Â";"37 %";"39 %";"8 %";"7 %";"5 %";"â€“";"4 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"08.12.2000";"Â";"36 %";"39 %";"8 %";"8 %";"5 %";"â€“";"4 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"01.12.2000";"Â";"37 %";"38 %";"8 %";"7 %";"5 %";"â€“";"5 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"24.11.2000";"Â";"37 %";"39 %";"7 %";"7 %";"5 %";"â€“";"5 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"17.11.2000";"Â";"37 %";"39 %";"7 %";"7 %";"6 %";"â€“";"4 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"10.11.2000";"Â";"37 %";"39 %";"6 %";"7 %";"6 %";"â€“";"5 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"03.11.2000";"Â";"37 %";"39 %";"6 %";"7 %";"6 %";"â€“";"5 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"27.10.2000";"Â";"36 %";"40 %";"6 %";"7 %";"6 %";"â€“";"5 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"20.10.2000";"Â";"37 %";"39 %";"6 %";"8 %";"5 %";"â€“";"5 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"13.10.2000";"Â";"38 %";"38 %";"6 %";"7 %";"6 %";"â€“";"5 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"06.10.2000";"Â";"39 %";"39 %";"6 %";"6 %";"6 %";"â€“";"4 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"29.09.2000";"Â";"37 %";"40 %";"6 %";"7 %";"5 %";"â€“";"5 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"22.09.2000";"Â";"36 %";"41 %";"6 %";"7 %";"5 %";"â€“";"5 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"15.09.2000";"Â";"35 %";"41 %";"6 %";"8 %";"5 %";"â€“";"5 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"08.09.2000";"Â";"34 %";"43 %";"6 %";"8 %";"5 %";"â€“";"4 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"01.09.2000";"Â";"34 %";"43 %";"6 %";"8 %";"6 %";"â€“";"3 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"25.08.2000";"Â";"34 %";"43 %";"6 %";"8 %";"5 %";"â€“";"4 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"18.08.2000";"Â";"35 %";"42 %";"6 %";"8 %";"5 %";"â€“";"4 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"11.08.2000";"Â";"35 %";"42 %";"6 %";"8 %";"5 %";"â€“";"4 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"04.08.2000";"Â";"34 %";"42 %";"6 %";"9 %";"5 %";"â€“";"4 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"28.07.2000";"Â";"36 %";"40 %";"6 %";"8 %";"6 %";"â€“";"4 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"21.07.2000";"Â";"37 %";"39 %";"7 %";"8 %";"6 %";"â€“";"3 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"14.07.2000";"Â";"37 %";"39 %";"6 %";"9 %";"6 %";"â€“";"3 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"07.07.2000";"Â";"38 %";"39 %";"6 %";"8 %";"5 %";"â€“";"4 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"30.06.2000";"Â";"38 %";"39 %";"6 %";"9 %";"5 %";"â€“";"3 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"23.06.2000";"Â";"38 %";"38 %";"7 %";"9 %";"5 %";"â€“";"3 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"16.06.2000";"Â";"39 %";"37 %";"7 %";"9 %";"6 %";"â€“";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"09.06.2000";"Â";"39 %";"38 %";"7 %";"9 %";"5 %";"â€“";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"02.06.2000";"Â";"36 %";"38 %";"6 %";"10 %";"6 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"26.05.2000";"Â";"36 %";"40 %";"6 %";"9 %";"5 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"19.05.2000";"Â";"36 %";"40 %";"6 %";"9 %";"5 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"12.05.2000";"Â";"36 %";"41 %";"6 %";"7 %";"5 %";"2 %";"3 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"05.05.2000";"Â";"36 %";"41 %";"6 %";"7 %";"5 %";"2 %";"3 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"28.04.2000";"Â";"36 %";"40 %";"7 %";"7 %";"6 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"21.04.2000";"Â";"36 %";"39 %";"7 %";"7 %";"6 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"14.04.2000";"Â";"36 %";"39 %";"7 %";"7 %";"6 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"07.04.2000";"Â";"34 %";"39 %";"8 %";"7 %";"7 %";"3 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"31.03.2000";"Â";"33 %";"41 %";"7 %";"8 %";"7 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"24.03.2000";"Â";"33 %";"40 %";"8 %";"8 %";"7 %";"2 %";"2 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
"17.03.2000";"Â";"33 %";"40 %";"7 %";"8 %";"7 %";"2 %";"3 %";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2000.htm"
