"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"21.12.2001";"Â";"38 %";"37 %";"7 %";"8 %";"7 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"14.12.2001";"Â";"37 %";"38 %";"6 %";"8 %";"8 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"07.12.2001";"Â";"36 %";"40 %";"6 %";"9 %";"7 %";"2 %";"Â";"Â";"29.01.â€“04.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"30.11.2001";"Â";"35 %";"40 %";"6 %";"9 %";"7 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"23.11.2001";"Â";"34 %";"41 %";"6 %";"9 %";"7 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"16.11.2001";"Â";"36 %";"41 %";"6 %";"9 %";"6 %";"2 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"09.11.2001";"Â";"35 %";"42 %";"5 %";"8 %";"7 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"02.11.2001";"Â";"35 %";"41 %";"6 %";"9 %";"6 %";"3 %";"Â";"Â";"25.10.â€“30.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"26.10.2001";"Â";"37 %";"41 %";"6 %";"8 %";"5 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"19.10.2001";"Â";"36 %";"41 %";"6 %";"8 %";"5 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"12.10.2001";"Â";"37 %";"40 %";"6 %";"8 %";"5 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"05.10.2001";"Â";"36 %";"40 %";"6 %";"9 %";"5 %";"4 %";"Â";"Â";"27.09.â€“02.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"29.09.2001";"Â";"37 %";"41 %";"6 %";"8 %";"5 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"21.09.2001";"Â";"37 %";"41 %";"6 %";"8 %";"6 %";"2 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"14.09.2001";"Â";"36 %";"38 %";"6 %";"10 %";"6 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"07.09.2001";"Â";"36 %";"38 %";"7 %";"10 %";"5 %";"4 %";"Â";"Â";"30.08.â€“04.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"31.08.2001";"Â";"37 %";"37 %";"7 %";"9 %";"6 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"24.08.2001";"Â";"36 %";"38 %";"7 %";"10 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"17.08.2001";"Â";"37 %";"38 %";"7 %";"10 %";"5 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"10.08.2001";"Â";"36 %";"39 %";"7 %";"9 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"03.08.2001";"Â";"36 %";"38 %";"7 %";"10 %";"6 %";"3 %";"Â";"Â";"26.07.â€“31.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"27.07.2001";"Â";"36 %";"39 %";"7 %";"9 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"20.07.2001";"Â";"35 %";"38 %";"8 %";"10 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"13.07.2001";"Â";"34 %";"38 %";"8 %";"11 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"06.07.2001";"Â";"34 %";"39 %";"7 %";"10 %";"7 %";"3 %";"Â";"Â";"28.06.â€“03.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"29.06.2001";"Â";"36 %";"37 %";"7 %";"10 %";"6 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"22.06.2001";"Â";"35 %";"38 %";"7 %";"9 %";"6 %";"5 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"15.06.2001";"Â";"36 %";"38 %";"7 %";"9 %";"6 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"08.06.2001";"Â";"37 %";"39 %";"7 %";"9 %";"5 %";"3 %";"Â";"Â";"31.05.â€“06.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"01.06.2001";"Â";"37 %";"40 %";"6 %";"8 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"18.05.2001";"Â";"36 %";"40 %";"6 %";"9 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"18.05.2001";"Â";"36 %";"40 %";"6 %";"9 %";"5 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"11.05.2001";"Â";"36 %";"40 %";"6 %";"9 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"04.05.2001";"Â";"35 %";"41 %";"7 %";"8 %";"5 %";"4 %";"Â";"Â";"26.04.â€“02.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"27.04.2001";"Â";"36 %";"39 %";"7 %";"8 %";"6 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"20.04.2001";"Â";"36 %";"39 %";"7 %";"8 %";"6 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"13.04.2001";"Â";"36 %";"40 %";"6 %";"7 %";"6 %";"5 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"06.04.2001";"Â";"36 %";"39 %";"7 %";"8 %";"5 %";"5 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"30.03.2001";"Â";"35 %";"40 %";"7 %";"8 %";"5 %";"5 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"23.03.2001";"Â";"34 %";"40 %";"8 %";"8 %";"5 %";"5 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"16.03.2001";"Â";"34 %";"40 %";"9 %";"7 %";"5 %";"5 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"09.03.2001";"Â";"35 %";"39 %";"9 %";"8 %";"5 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"02.03.2001";"Â";"35 %";"40 %";"8 %";"8 %";"5 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"23.02.2001";"Â";"35 %";"40 %";"7 %";"8 %";"6 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"16.02.2001";"Â";"35 %";"40 %";"7 %";"9 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"09.02.2001";"Â";"34 %";"40 %";"8 %";"9 %";"5 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"02.02.2001";"Â";"35 %";"38 %";"8 %";"9 %";"5 %";"5 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
"26.01.2001";"Â";"36 %";"38 %";"8 %";"9 %";"5 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2001.htm"
