"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"20.12.2002";"Â";"47 %";"30 %";"11 %";"5 %";"4 %";"3 %";"Â";"1.000";"16.12.â€“17.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"12.12.2002";"Â";"47 %";"29 %";"11 %";"6 %";"4 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"06.12.2002";"Â";"48 %";"28 %";"12 %";"5 %";"4 %";"3 %";"Â";"1.300";"02.12.â€“04.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"29.11.2002";"Â";"48 %";"30 %";"11 %";"5 %";"4 %";"2 %";"Â";"1.000";"25.11.â€“27.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"21.11.2002";"Â";"48 %";"30 %";"11 %";"4 %";"4 %";"3 %";"Â";"1.000";"18.11.â€“20.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"15.11.2002";"Â";"46 %";"32 %";"10 %";"5 %";"4 %";"3 %";"Â";"1.000";"11.11.â€“13.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"07.11.2002";"Â";"44 %";"34 %";"10 %";"5 %";"4 %";"3 %";"Â";"1.000";"04.11.â€“06.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"01.11.2002";"Â";"43 %";"35 %";"9 %";"6 %";"4 %";"3 %";"Â";"1.299";"28.10.â€“30.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"25.10.2002";"Â";"41 %";"36 %";"10 %";"6 %";"4 %";"3 %";"Â";"1.000";"21.10.â€“23.10";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"18.10.2002";"Â";"40 %";"37 %";"10 %";"6 %";"4 %";"3 %";"Â";"1.000";"14.10.â€“16.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"11.10.2002";"Â";"39 %";"38 %";"9 %";"7 %";"4 %";"3 %";"Â";"1.100";"07.10.â€“09.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"04.10.2002";"Â";"39 %";"38 %";"9 %";"7 %";"4 %";"3 %";"Â";"1.300";"30.09.â€“02.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
