"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"Linke.PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"14.12.2006";"Â";"34 %";"31 %";"12 %";"11 %";"8 %";"4 %";"Â";"1.000";"12.12.â€“13.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"07.12.2006";"Â";"35 %";"31 %";"11 %";"10 %";"8 %";"5 %";"Â";"1.500";"04.12.â€“06.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"16.11.2006";"Â";"34 %";"32 %";"10 %";"11 %";"8 %";"5 %";"Â";"1.000";"14.11.â€“15.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"02.11.2006";"Â";"31 %";"31 %";"12 %";"13 %";"9 %";"4 %";"Â";"1.500";"30.10.â€“01.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"19.10.2006";"Â";"32 %";"32 %";"11 %";"12 %";"9 %";"4 %";"Â";"1.000";"17.10.â€“18.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"05.10.2006";"Â";"30 %";"33 %";"10 %";"13 %";"9 %";"5 %";"Â";"1.500";"03.10.â€“04.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"22.09.2006";"Â";"32 %";"31 %";"10 %";"13 %";"9 %";"5 %";"Â";"1.000";"19.09.â€“20.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"07.09.2006";"Â";"34 %";"28 %";"10 %";"14 %";"9 %";"5 %";"Â";"1.500";"04.09.â€“06.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"25.08.2006";"Â";"35 %";"29 %";"9 %";"13 %";"10 %";"4 %";"Â";"1.000";"22.08.â€“23.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"03.08.2006";"Â";"35 %";"29 %";"10 %";"12 %";"9 %";"5 %";"Â";"1.500";"31.07.â€“02.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"21.07.2006";"Â";"35 %";"29 %";"10 %";"13 %";"9 %";"4 %";"Â";"1.000";"18.07.â€“20.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"13.07.2006";"Â";"35 %";"28 %";"11 %";"12 %";"9 %";"5 %";"Â";"1.000";"11.07.â€“12.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"06.07.2006";"Â";"35 %";"29 %";"10 %";"12 %";"10 %";"4 %";"Â";"1.500";"03.07.â€“05.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"16.06.2006";"Â";"37 %";"30 %";"9 %";"10 %";"10 %";"4 %";"Â";"1.000";"13.06.â€“14.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"09.06.2006";"Â";"37 %";"30 %";"10 %";"10 %";"9 %";"4 %";"Â";"1.000";"06.06.â€“08.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"01.06.2006";"Â";"37 %";"30 %";"10 %";"10 %";"9 %";"4 %";"Â";"1.500";"29.05.â€“31.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"18.05.2006";"Â";"37 %";"30 %";"10 %";"10 %";"9 %";"4 %";"Â";"1.000";"16.05.â€“17.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"12.05.2006";"Â";"38 %";"31 %";"9 %";"9 %";"9 %";"4 %";"Â";"1.663";"02.05.â€“03.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"05.05.2006";"Â";"39 %";"31 %";"10 %";"9 %";"8 %";"3 %";"Â";"1.000";"02.05.â€“03.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"28.04.2006";"Â";"37 %";"32 %";"10 %";"9 %";"8 %";"4 %";"Â";"1.000";"24.04.â€“25.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"21.04.2006";"Â";"38 %";"32 %";"10 %";"9 %";"8 %";"3 %";"Â";"1.000";"18.04.â€“19.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"13.04.2006";"Â";"40 %";"31 %";"9 %";"9 %";"8 %";"3 %";"Â";"1.000";"10.04.â€“11.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"06.04.2006";"Â";"40 %";"30 %";"9 %";"10 %";"8 %";"3 %";"Â";"1.692";"03.04.â€“05.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"31.03.2006";"Â";"41 %";"31 %";"8 %";"9 %";"8 %";"3 %";"Â";"1.000";"28.03.â€“29.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"24.03.2006";"Â";"41 %";"31 %";"9 %";"8 %";"8 %";"3 %";"Â";"1.000";"21.03.â€“22.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"16.03.2006";"Â";"40 %";"30 %";"9 %";"9 %";"8 %";"4 %";"Â";"1.000";"14.03.â€“15.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"09.03.2006";"Â";"41 %";"29 %";"9 %";"9 %";"8 %";"4 %";"Â";"1.000";"07.03.â€“08.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"02.03.2006";"Â";"41 %";"30 %";"10 %";"9 %";"7 %";"3 %";"Â";"1.536";"27.02.â€“01.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"24.02.2006";"Â";"42 %";"31 %";"9 %";"8 %";"7 %";"3 %";"Â";"1.000";"21.02.â€“22.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"16.02.2006";"Â";"42 %";"30 %";"8 %";"9 %";"8 %";"3 %";"Â";"1.000";"14.02.â€“15.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"09.02.2006";"Â";"41 %";"31 %";"8 %";"8 %";"8 %";"4 %";"Â";"1.000";"07.02.â€“08.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"02.02.2006";"Â";"40 %";"32 %";"7 %";"8 %";"9 %";"4 %";"Â";"1.536";"30.01.â€“01.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"26.01.2006";"Â";"40 %";"33 %";"8 %";"7 %";"9 %";"3 %";"Â";"1.000";"24.01.â€“25.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"19.01.2006";"Â";"39 %";"32 %";"9 %";"8 %";"9 %";"3 %";"Â";"1.000";"17.01.â€“18.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"12.01.2006";"Â";"39 %";"32 %";"9 %";"8 %";"9 %";"3 %";"Â";"1.000";"10.01.â€“11.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
"05.01.2006";"Â";"39 %";"31 %";"9 %";"9 %";"9 %";"3 %";"Â";"1.672";"02.01.â€“04.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2006.htm"
