"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"14.12.2007";"Â";"39 %";"28 %";"9 %";"10 %";"10 %";"4 %";"Â";"1.000";"11.12.â€“12.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"06.12.2007";"Â";"40 %";"28 %";"9 %";"9 %";"11 %";"3 %";"Â";"1.500";"03.12.â€“05.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"15.11.2007";"Â";"41 %";"30 %";"9 %";"8 %";"9 %";"3 %";"Â";"1.000";"13.11.â€“14.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"01.11.2007";"Â";"40 %";"30 %";"8 %";"8 %";"10 %";"4 %";"Â";"1.500";"29.10.â€“31.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"18.10.2007";"Â";"41 %";"28 %";"10 %";"7 %";"10 %";"4 %";"Â";"1.000";"16.10.â€“17.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"04.10.2007";"Â";"40 %";"27 %";"10 %";"8 %";"11 %";"4 %";"Â";"1.500";"01.10.â€“03.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"20.09.2007";"Â";"39 %";"27 %";"11 %";"10 %";"10 %";"3 %";"Â";"1.000";"18.09.â€“19.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"06.09.2007";"Â";"39 %";"27 %";"11 %";"9 %";"10 %";"4 %";"Â";"1.500";"03.09.â€“05.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"10.08.2007";"Â";"38 %";"28 %";"10 %";"10 %";"10 %";"4 %";"Â";"1.000";"07.08.â€“08.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"02.08.2007";"Â";"38 %";"28 %";"11 %";"9 %";"11 %";"3 %";"Â";"1.500";"30.07.â€“01.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"12.07.2007";"Â";"38 %";"28 %";"11 %";"9 %";"11 %";"3 %";"Â";"1.000";"10.07.â€“11.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"05.07.2007";"Â";"38 %";"28 %";"10 %";"10 %";"11 %";"3 %";"Â";"1.500";"02.07.â€“04.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"24.06.2007";"Â";"38 %";"29 %";"10 %";"9 %";"10 %";"4 %";"Â";"1.000";"20.06.â€“21.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"14.06.2007";"Â";"38 %";"29 %";"11 %";"9 %";"9 %";"4 %";"Â";"1.000";"12.06.â€“13.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"07.06.2007";"Â";"37 %";"31 %";"11 %";"9 %";"9 %";"3 %";"Â";"1.500";"04.06.â€“06.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"16.05.2007";"Â";"37 %";"30 %";"11 %";"9 %";"9 %";"4 %";"Â";"1.000";"14.05.â€“15.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"11.05.2007";"Â";"36 %";"31 %";"11 %";"10 %";"8 %";"4 %";"Â";"1.000";"07.05.â€“10.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"03.05.2007";"Â";"37 %";"31 %";"11 %";"10 %";"8 %";"3 %";"Â";"1.500";"30.03.â€“02.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"19.04.2007";"Â";"36 %";"31 %";"11 %";"10 %";"8 %";"4 %";"Â";"1.000";"17.04.â€“18.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"05.04.2007";"Â";"36 %";"31 %";"11 %";"11 %";"8 %";"3 %";"Â";"1.500";"02.04.â€“04.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"08.03.2007";"Â";"37 %";"30 %";"11 %";"10 %";"8 %";"4 %";"Â";"1.000";"06.03.â€“07.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"01.03.2007";"Â";"36 %";"31 %";"11 %";"10 %";"8 %";"4 %";"Â";"1.500";"26.02.â€“28.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"08.02.2007";"Â";"33 %";"32 %";"11 %";"12 %";"8 %";"4 %";"Â";"1.000";"06.02.â€“07.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"01.02.2007";"Â";"35 %";"31 %";"11 %";"11 %";"8 %";"4 %";"Â";"1.500";"29.01.â€“31.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"12.01.2007";"Â";"35 %";"31 %";"10 %";"11 %";"8 %";"5 %";"Â";"1.000";"09.01.â€“10.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
"04.01.2007";"Â";"36 %";"30 %";"11 %";"11 %";"8 %";"4 %";"Â";"1.524";"02.01.â€“03.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2007.htm"
