"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Rechte";"Sonstige";"institut";"url"
"17.12.1999";"Â";"39 %";"37 %";"7 %";"5 %";"6 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"10.12.1999";"Â";"40 %";"36 %";"6 %";"5 %";"7 %";"5 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"03.12.1999";"Â";"44 %";"33 %";"5 %";"5 %";"7 %";"3 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"26.11.1999";"Â";"46 %";"32 %";"5 %";"4 %";"7 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"19.11.1999";"Â";"45 %";"32 %";"6 %";"4 %";"7 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"12.11.1999";"Â";"45 %";"32 %";"6 %";"4 %";"7 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"05.11.1999";"Â";"45 %";"33 %";"5 %";"4 %";"7 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"29.10.1999";"Â";"45 %";"33 %";"5 %";"4 %";"7 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"22.10.1999";"Â";"47 %";"33 %";"6 %";"4 %";"7 %";"2 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"15.10.1999";"Â";"46 %";"32 %";"5 %";"5 %";"6 %";"3 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"08.10.1999";"Â";"44 %";"35 %";"6 %";"4 %";"6 %";"4 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"01.10.1999";"Â";"44 %";"34 %";"5 %";"5 %";"7 %";"4 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"24.09.1999";"Â";"45 %";"33 %";"5 %";"5 %";"6 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"17.09.1999";"Â";"44 %";"35 %";"6 %";"4 %";"6 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"10.09.1999";"Â";"43 %";"35 %";"6 %";"5 %";"6 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"03.09.1999";"Â";"43 %";"35 %";"5 %";"6 %";"6 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"27.08.1999";"Â";"42 %";"35 %";"6 %";"6 %";"6 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"20.08.1999";"Â";"43 %";"35 %";"6 %";"5 %";"6 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"13.08.1999";"Â";"43 %";"35 %";"6 %";"5 %";"6 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"06.08.1999";"Â";"43 %";"35 %";"6 %";"5 %";"5 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"30.07.1999";"Â";"43 %";"36 %";"6 %";"6 %";"5 %";"3 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"23.07.1999";"Â";"42 %";"36 %";"6 %";"4 %";"6 %";"3 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"16.07.1999";"Â";"43 %";"37 %";"5 %";"5 %";"6 %";"2 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"09.07.1999";"Â";"42 %";"36 %";"5 %";"4 %";"6 %";"3 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"02.07.1999";"Â";"43 %";"36 %";"5 %";"5 %";"5 %";"3 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"25.06.1999";"Â";"42 %";"37 %";"5 %";"5 %";"5 %";"3 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"18.06.1999";"Â";"41 %";"37 %";"5 %";"6 %";"5 %";"3 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"11.06.1999";"Â";"41 %";"39 %";"6 %";"6 %";"5 %";"â€“";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"04.06.1999";"Â";"41 %";"37 %";"6 %";"6 %";"5 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
