"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"22.12.2001";"Â";"36 %";"39 %";"6 %";"7 %";"7 %";"5 %";"Â";"Â";"bis 15.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"15.12.2001";"Â";"36 %";"38 %";"6 %";"7 %";"7 %";"6 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"08.12.2001";"Â";"37 %";"39 %";"5 %";"7 %";"6 %";"6 %";"Â";"Â";"bis 01.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"01.12.2001";"Â";"36 %";"39 %";"5 %";"7 %";"8 %";"4 %";"Â";"Â";"bis 25.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"24.11.2001";"Â";"35 %";"40 %";"5 %";"8 %";"7 %";"4 %";"Â";"Â";"bis 18.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"17.11.2001";"Â";"34 %";"40 %";"5 %";"9 %";"7 %";"5 %";"Â";"Â";"bis 14.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"10.11.2001";"Â";"35 %";"40 %";"6 %";"8 %";"7 %";"4 %";"Â";"Â";"29.10.â€“03.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"03.11.2001";"Â";"35 %";"41 %";"6 %";"7 %";"6 %";"5 %";"Â";"Â";"22.10.â€“29.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"27.10.2001";"Â";"36 %";"41 %";"6 %";"7 %";"5 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"20.10.2001";"Â";"36 %";"41 %";"6 %";"7 %";"5 %";"5 %";"Â";"Â";"bis 19.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"13.10.2001";"Â";"37 %";"39 %";"6 %";"8 %";"6 %";"4 %";"Â";"Â";"bis 12.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"06.10.2001";"Â";"36 %";"40 %";"6 %";"8 %";"5 %";"5 %";"Â";"~1.000";"24.09.â€“30.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"29.09.2001";"Â";"38 %";"39 %";"6 %";"8 %";"5 %";"4 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"22.09.2001";"Â";"38 %";"38 %";"5 %";"10 %";"5 %";"4 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"15.09.2001";"Â";"37 %";"38 %";"6 %";"8 %";"7 %";"3 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
"08.09.2001";"Â";"37 %";"38 %";"6 %";"9 %";"6 %";"4 %";"Â";"~1.000";"20.08.â€“31.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2001.htm"
