"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"19.12.2002";"Â";"48 %";"29 %";"11 %";"5 %";"4 %";"3 %";"Â";"3.899";"10.12.â€“16.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"12.12.2002";"Â";"49 %";"28 %";"10 %";"5 %";"5 %";"3 %";"Â";"4.865";"03.12.â€“09.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"05.12.2002";"Â";"49 %";"28 %";"10 %";"5 %";"5 %";"3 %";"Â";"1.958";"26.11.â€“02.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"28.11.2002";"Â";"50 %";"28 %";"10 %";"5 %";"4 %";"3 %";"Â";"3.247";"19.11.â€“25.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"21.11.2002";"Â";"48 %";"29 %";"10 %";"6 %";"4 %";"3 %";"Â";"2.650";"12.11.â€“18.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"14.11.2002";"Â";"46 %";"32 %";"9 %";"5 %";"5 %";"3 %";"Â";"4.158";"05.11.â€“12.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"07.11.2002";"Â";"44 %";"34 %";"10 %";"5 %";"4 %";"3 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"31.10.2002";"Â";"42 %";"35 %";"10 %";"5 %";"4 %";"4 %";"Â";"2.515";"23.10.â€“28.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"24.10.2002";"Â";"41 %";"37 %";"10 %";"6 %";"3 %";"3 %";"Â";"1.409";"17.10.â€“22.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"17.10.2002";"Â";"40 %";"37 %";"10 %";"6 %";"4 %";"3 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"10.10.2002";"Â";"40 %";"38 %";"8 %";"7 %";"4 %";"3 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"03.10.2002";"Â";"40 %";"38 %";"9 %";"7 %";"4 %";"2 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"26.09.2002";"Â";"39 %";"38 %";"9 %";"7 %";"4 %";"3 %";"Â";"770";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"22.09.2002";"Â";"38,5 %";"38,5 %";"8,6 %";"7,4 %";"4,0 %";"3,0 %";"Â";"Bundestagswahl";"Bundestagswahl";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"14.09.2002**";"Â";"37 %";"39 %";"7 %";"8 %";"5 %";"4 %";"Â";"3.518";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"12.09.2002";"Â";"38 %";"38 %";"7 %";"8 %";"4 %";"5 %";"Â";"1.313";"10.09.â€“11.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
"10.09.2002";"Â";"38 %";"38 %";"7 %";"8 %";"4 %";"5 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2002.htm"
