"datum";"Â.1";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"institut";"url"
"22.12.2004";"Â";"40 %";"31 %";"11 %";"7 %";"6 %";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"15.12.2004";"Â";"39 %";"31 %";"10 %";"8 %";"6 %";"6 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"08.12.2004";"Â";"40 %";"31 %";"11 %";"7 %";"6 %";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"01.12.2004";"Â";"39 %";"31 %";"11 %";"8 %";"6 %";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"24.11.2004";"Â";"38 %";"32 %";"12 %";"7 %";"6 %";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"17.11.2004";"Â";"39 %";"31 %";"11 %";"8 %";"6 %";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"10.11.2004";"Â";"39 %";"31 %";"12 %";"7 %";"6 %";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"03.11.2004";"Â";"39 %";"31 %";"12 %";"8 %";"6 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"27.10.2004";"Â";"39 %";"31 %";"12 %";"7 %";"6 %";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"19.10.2004";"Â";"40 %";"29 %";"12 %";"8 %";"6 %";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"13.10.2004";"Â";"40 %";"28 %";"12 %";"8 %";"7 %";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"Â";"Â";"38 %";"29 %";"11 %";"9 %";"7 %";"6 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"Â";"Â";"40 %";"28 %";"11 %";"7 %";"8 %";"6 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"Â";"Â";"42 %";"26 %";"11 %";"7 %";"7 %";"7 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"Â";"Â";"42 %";"25 %";"11 %";"8 %";"8 %";"6 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"Â";"Â";"42 %";"25 %";"12 %";"7 %";"8 %";"6 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"19.08.2004";"Â";"42 %";"23 %";"13 %";"9 %";"8 %";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"12.08.2004";"Â";"43 %";"25 %";"12 %";"8 %";"7 %";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"05.08.2004";"Â";"43 %";"25 %";"12 %";"8 %";"7 %";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"29.07.2004";"Â";"45 %";"24 %";"13 %";"7 %";"6 %";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"22.07.2004";"Â";"44 %";"24 %";"13 %";"8 %";"6 %";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"15.07.2004";"Â";"45 %";"25 %";"12 %";"8 %";"6 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"08.07.2004";"Â";"45 %";"24 %";"13 %";"8 %";"6 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"01.07.2004";"Â";"45 %";"25 %";"13 %";"7 %";"6 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"24.06.2004";"Â";"45 %";"25 %";"12 %";"8 %";"6 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"17.06.2004";"Â";"47 %";"26 %";"11 %";"7 %";"5 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"11.06.2004";"Â";"48 %";"27 %";"10 %";"7 %";"5 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"04.06.2004";"Â";"47 %";"26 %";"11 %";"7 %";"5 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"20.05.2004";"Â";"47 %";"26 %";"11 %";"6 %";"6 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"13.05.2004";"Â";"48 %";"26 %";"10 %";"6 %";"6 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"07.05.2004";"Â";"47 %";"27 %";"11 %";"6 %";"5 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"30.04.2004";"Â";"47 %";"27 %";"11 %";"7 %";"5 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"23.04.2004";"Â";"46 %";"27 %";"11 %";"7 %";"5 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"15.04.2004";"Â";"47 %";"27 %";"11 %";"6 %";"5 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"01.04.2004";"Â";"48 %";"26 %";"11 %";"6 %";"5 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"25.03.2004";"Â";"49 %";"24 %";"12 %";"6 %";"5 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"18.03.2004";"Â";"49 %";"25 %";"11 %";"6 %";"5 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"12.03.2004";"Â";"50 %";"23 %";"11 %";"7 %";"5 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"04.03.2004";"Â";"48 %";"24 %";"11 %";"8 %";"5 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"26.02.2004";"Â";"48 %";"24 %";"11 %";"7 %";"5 %";"5 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"19.02.2004";"Â";"47 %";"24 %";"12 %";"8 %";"5 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"11.02.2004";"Â";"49 %";"24 %";"11 %";"7 %";"5 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"05.02.2004";"Â";"48 %";"26 %";"11 %";"7 %";"5 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"29.01.2004";"Â";"49 %";"25 %";"11 %";"7 %";"5 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"22.01.2004";"Â";"48 %";"26 %";"11 %";"7 %";"5 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"15.01.2004";"Â";"48 %";"27 %";"10 %";"7 %";"5 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"08.01.2004";"Â";"47 %";"27 %";"10 %";"7 %";"5 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
"01.01.2004";"Â";"48 %";"28 %";"10 %";"6 %";"4 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2004.htm"
