"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"Linke.PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"20.12.2006";"Â";"33 %";"29 %";"11 %";"12 %";"10 %";"5 %";"Â";"5.034";"11.12.â€“18.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"13.12.2006";"Â";"34 %";"30 %";"10 %";"10 %";"11 %";"5 %";"Â";"4.583";"04.12.â€“11.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"05.12.2006";"Â";"33 %";"29 %";"11 %";"11 %";"11 %";"5 %";"Â";"5.967";"27.11.â€“04.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"28.11.2006";"Â";"32 %";"30 %";"10 %";"12 %";"11 %";"5 %";"Â";"6.402";"20.11.â€“27.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"22.11.2006";"Â";"31 %";"30 %";"10 %";"13 %";"11 %";"5 %";"Â";"2.768";"14.11.â€“18.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"14.11.2006";"Â";"31 %";"30 %";"11 %";"12 %";"11 %";"5 %";"Â";"4.121";"06.11.â€“13.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"07.11.2006";"Â";"29 %";"30 %";"11 %";"14 %";"11 %";"5 %";"Â";"3.227";"30.10.â€“06.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"31.10.2006";"Â";"30 %";"29 %";"12 %";"13 %";"11 %";"5 %";"Â";"3.682";"23.10.â€“30.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"25.10.2006";"Â";"30 %";"30 %";"11 %";"14 %";"10 %";"5 %";"Â";"4.590";"16.10.â€“21.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"18.10.2006";"Â";"29 %";"31 %";"11 %";"13 %";"10 %";"6 %";"Â";"3.670";"09.10.â€“16.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"11.10.2006";"Â";"29 %";"31 %";"11 %";"14 %";"10 %";"5 %";"Â";"4.616";"02.10.â€“09.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"04.10.2006";"Â";"31 %";"31 %";"10 %";"14 %";"9 %";"5 %";"Â";"3.643";"25.09.â€“02.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"27.09.2006";"Â";"30 %";"30 %";"10 %";"14 %";"10 %";"6 %";"Â";"3.663";"19.09.â€“25.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"19.09.2006";"Â";"30 %";"30 %";"10 %";"13 %";"11 %";"6 %";"Â";"5.058";"12.09.â€“18.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"13.09.2006";"Â";"31 %";"29 %";"11 %";"13 %";"11 %";"5 %";"Â";"4.136";"04.09.â€“11.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"06.09.2006";"Â";"31 %";"30 %";"10 %";"12 %";"11 %";"6 %";"Â";"4.599";"28.08.â€“04.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"30.08.2006";"Â";"31 %";"30 %";"10 %";"13 %";"11 %";"5 %";"Â";"4.212";"21.08.â€“28.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"23.08.2006";"Â";"32 %";"29 %";"10 %";"13 %";"10 %";"6 %";"Â";"4.585";"14.08.â€“21.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"16.08.2006";"Â";"31 %";"29 %";"10 %";"13 %";"11 %";"6 %";"Â";"3.213";"07.08.â€“14.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"09.08.2006";"Â";"32 %";"29 %";"10 %";"13 %";"10 %";"6 %";"Â";"3.707";"28.07.â€“07.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"02.08.2006";"Â";"33 %";"30 %";"10 %";"12 %";"10 %";"5 %";"Â";"3.220";"24.07.â€“31.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"26.07.2006";"Â";"33 %";"31 %";"10 %";"12 %";"10 %";"4 %";"Â";"3.212";"17.07.â€“24.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"19.07.2006";"Â";"33 %";"30 %";"10 %";"13 %";"10 %";"4 %";"Â";"3.674";"11.07.â€“17.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"12.07.2006";"Â";"34 %";"29 %";"10 %";"12 %";"10 %";"5 %";"Â";"2.487";"04.07.â€“10.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"04.07.2006";"Â";"34 %";"31 %";"9 %";"12 %";"10 %";"4 %";"Â";"2.760";"26.06.â€“03.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"27.06.2006";"Â";"34 %";"31 %";"10 %";"11 %";"10 %";"4 %";"Â";"3.569";"19.06.â€“26.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"20.06.2006";"Â";"35 %";"31 %";"9 %";"11 %";"10 %";"4 %";"Â";"4.115";"12.06.â€“19.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"14.06.2006";"Â";"35 %";"30 %";"9 %";"11 %";"10 %";"5 %";"Â";"4.567";"06.06.â€“12.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"07.06.2006";"Â";"34 %";"30 %";"9 %";"12 %";"10 %";"5 %";"Â";"6.387";"29.05.â€“06.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"30.05.2006";"Â";"35 %";"30 %";"10 %";"12 %";"10 %";"3 %";"Â";"3.847";"22.05.â€“29.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"09.05.2006";"Â";"37 %";"30 %";"9 %";"10 %";"10 %";"4 %";"Â";"3.681";"02.05.â€“08.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"03.05.2006";"Â";"37 %";"31 %";"8 %";"10 %";"10 %";"4 %";"Â";"6.471";"24.04.â€“02.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"25.04.2006";"Â";"37 %";"31 %";"9 %";"10 %";"9 %";"4 %";"Â";"4.161";"18.04.â€“24.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"19.04.2006";"Â";"37 %";"32 %";"9 %";"9 %";"9 %";"4 %";"Â";"3.635";"10.04.â€“18.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"12.04.2006";"Â";"38 %";"30 %";"9 %";"10 %";"9 %";"4 %";"Â";"4.595";"03.04.â€“10.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"04.04.2006";"Â";"38 %";"30 %";"9 %";"9 %";"9 %";"5 %";"Â";"6.450";"27.03.â€“03.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"28.03.2006";"Â";"38 %";"30 %";"9 %";"9 %";"9 %";"5 %";"Â";"3.913";"21.03.â€“27.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"14.03.2006";"Â";"39 %";"30 %";"9 %";"9 %";"9 %";"4 %";"Â";"2.571";"06.03.â€“13.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"07.03.2006";"Â";"38 %";"30 %";"9 %";"9 %";"9 %";"5 %";"Â";"2.636";"27.02.â€“06.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"28.02.2006";"Â";"40 %";"29 %";"9 %";"9 %";"9 %";"4 %";"Â";"2.320";"20.02.â€“27.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"23.02.2006";"Â";"40 %";"30 %";"8 %";"9 %";"9 %";"4 %";"Â";"2.320";"13.02.â€“20.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"14.02.2006";"Â";"39 %";"31 %";"9 %";"9 %";"9 %";"3 %";"Â";"2.605";"06.02.â€“13.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"07.02.2006";"Â";"40 %";"31 %";"8 %";"9 %";"9 %";"3 %";"Â";"3.313";"30.01.â€“06.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"31.01.2006";"Â";"39 %";"30 %";"8 %";"9 %";"10 %";"4 %";"Â";"2.711";"19.01.â€“25.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"24.01.2006";"Â";"38 %";"30 %";"9 %";"9 %";"9 %";"5 %";"Â";"2.357";"16.01.â€“23.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"17.01.2006";"Â";"38 %";"29 %";"9 %";"10 %";"10 %";"4 %";"Â";"2.322";"09.01.â€“16.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
"09.01.2006";"Â";"39 %";"31 %";"9 %";"9 %";"8 %";"4 %";"Â";"2.026";"02.01.â€“09.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2006.htm"
