"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"23.12.2008";"Â";"35 %";"26 %";"11 %";"12 %";"12 %";"4 %";"Â";"3.692";"15.12.â€“22.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"17.12.2008";"Â";"36 %";"24 %";"11 %";"12 %";"13 %";"4 %";"Â";"4.148";"08.12.â€“15.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"09.12.2008";"Â";"35 %";"25 %";"11 %";"12 %";"13 %";"4 %";"Â";"4.151";"01.12.â€“08.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"03.12.2008";"Â";"34 %";"25 %";"11 %";"13 %";"13 %";"4 %";"Â";"4.128";"25.11.â€“01.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"26.11.2008";"Â";"34 %";"24 %";"11 %";"13 %";"14 %";"4 %";"Â";"4.606";"17.11.â€“24.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"19.11.2008";"Â";"35 %";"25 %";"10 %";"12 %";"14 %";"4 %";"Â";"4.615";"10.11.â€“17.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"12.11.2008";"Â";"35 %";"26 %";"9 %";"13 %";"13 %";"4 %";"Â";"4.127";"03.11.â€“10.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"06.11.2008";"Â";"34 %";"25 %";"10 %";"12 %";"14 %";"5 %";"Â";"3.663";"28.10.â€“04.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"28.10.2008";"Â";"33 %";"26 %";"11 %";"12 %";"13 %";"5 %";"Â";"4.103";"21.10.â€“27.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"22.10.2008";"Â";"33 %";"26 %";"10 %";"13 %";"14 %";"4 %";"Â";"4.133";"13.10.â€“20.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
