"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"PIRATEN";"AfD";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"22.09.2013";"Â";"41,5 %";"25,7 %";"8,4 %";"4,8 %";"8,6 %";"2,2 %";"4,7 %";"4,0 %";"Â";"Bundestagswahl";"Bundestagswahl";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"20.09.2013";"Â";"39 %";"26 %";"9 %";"6 %";"9 %";"â€“";"4 %";"7 %";"Â";"2.047";"14.09.â€“20.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"15.09.2013";"Â";"39 %";"26 %";"10 %";"5 %";"9 %";"3 %";"4 %";"4 %";"Â";"1.840";"05.09.â€“11.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"08.09.2013";"Â";"40 %";"25 %";"11 %";"5 %";"9 %";"3 %";"3 %";"4 %";"Â";"1.376";"02.09.â€“04.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"01.09.2013";"Â";"39 %";"23 %";"11 %";"6 %";"10 %";"3 %";"3 %";"5 %";"Â";"1.851";"22.08.â€“28.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"25.08.2013";"Â";"40 %";"25 %";"12 %";"5 %";"8 %";"3 %";"3 %";"4 %";"Â";"2.755";"15.08.â€“21.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"18.08.2013";"Â";"40 %";"24 %";"12 %";"6 %";"8 %";"4 %";"1 %";"5 %";"Â";"1.883";"08.08.â€“14.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"11.08.2013";"Â";"41 %";"25 %";"13 %";"5 %";"8 %";"3 %";"2 %";"3 %";"Â";"1.875";"01.08.â€“07.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"04.08.2013";"Â";"40 %";"25 %";"13 %";"5 %";"8 %";"3 %";"2 %";"4 %";"Â";"2.770";"25.07.â€“31.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"28.07.2013";"Â";"40 %";"25 %";"13 %";"5 %";"8 %";"3 %";"3 %";"3 %";"Â";"2.321";"18.07.â€“24.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"21.07.2013";"Â";"40 %";"25 %";"13 %";"6 %";"8 %";"3 %";"2 %";"3 %";"Â";"1.854";"11.07.â€“17.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"14.07.2013";"Â";"41 %";"26 %";"12 %";"5 %";"7 %";"4 %";"1 %";"4 %";"Â";"1.838";"04.07.â€“10.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"07.07.2013";"Â";"42 %";"26 %";"12 %";"4 %";"8 %";"3 %";"2 %";"3 %";"Â";"1.956";"27.06.â€“03.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"30.06.2013";"Â";"41 %";"25 %";"13 %";"5 %";"7 %";"3 %";"2 %";"4 %";"Â";"1.840";"20.06.â€“26.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"23.06.2013";"Â";"41 %";"25 %";"14 %";"4 %";"8 %";"3 %";"2 %";"3 %";"Â";"2.755";"13.06.â€“19.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"16.06.2013";"Â";"41 %";"25 %";"13 %";"5 %";"8 %";"3 %";"2 %";"3 %";"Â";"2.727";"06.06.â€“12.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"09.06.2013";"Â";"41 %";"26 %";"13 %";"4 %";"7 %";"3 %";"3 %";"3 %";"Â";"1.951";"31.05.â€“05.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"02.06.2013";"Â";"40 %";"26 %";"14 %";"5 %";"7 %";"4 %";"2 %";"2 %";"Â";"1.866";"23.05.â€“28.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"26.05.2013";"Â";"40 %";"27 %";"13 %";"4 %";"7 %";"4 %";"2 %";"3 %";"Â";"1.568";"18.05.â€“22.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"19.05.2013";"Â";"39 %";"26 %";"15 %";"4 %";"7 %";"4 %";"3 %";"2 %";"Â";"2.003";"10.05.â€“15.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"12.05.2013";"Â";"38 %";"26 %";"15 %";"4 %";"8 %";"4 %";"2 %";"3 %";"Â";"2.362";"02.05.â€“07.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"05.05.2013";"Â";"37 %";"27 %";"15 %";"5 %";"7 %";"4 %";"2 %";"3 %";"Â";"2.282";"25.04.â€“30.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"28.04.2013";"Â";"40 %";"27 %";"14 %";"4 %";"7 %";"3 %";"2 %";"3 %";"Â";"2.440";"18.04.â€“24.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"21.04.2013";"Â";"39 %";"26 %";"14 %";"5 %";"8 %";"4 %";"â€“";"4 %";"Â";"2.410";"11.04.â€“17.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"14.04.2013";"Â";"41 %";"26 %";"14 %";"5 %";"8 %";"3 %";"â€“";"3 %";"Â";"1.848";"04.04.â€“10.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"07.04.2013";"Â";"39 %";"26 %";"15 %";"5 %";"8 %";"3 %";"â€“";"4 %";"Â";"1.416";"28.03.â€“03.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"31.03.2013";"Â";"39 %";"26 %";"15 %";"5 %";"7 %";"3 %";"â€“";"5 %";"Â";"1.958";"21.03.â€“27.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"24.03.2013";"Â";"40 %";"27 %";"15 %";"5 %";"7 %";"3 %";"â€“";"3 %";"Â";"2.515";"14.03.â€“20.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"17.03.2013";"Â";"39 %";"28 %";"16 %";"4 %";"8 %";"3 %";"â€“";"2 %";"Â";"2.768";"07.03.â€“13.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"10.03.2013";"Â";"40 %";"27 %";"15 %";"4 %";"8 %";"3 %";"â€“";"3 %";"Â";"2.500";"28.02.â€“06.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"03.03.2013";"Â";"40 %";"27 %";"15 %";"5 %";"7 %";"3 %";"â€“";"3 %";"Â";"1.850";"21.02.â€“27.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"24.02.2013";"Â";"41 %";"27 %";"14 %";"4 %";"7 %";"4 %";"â€“";"3 %";"Â";"2.513";"14.02.â€“20.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"17.02.2013";"Â";"41 %";"27 %";"15 %";"4 %";"6 %";"3 %";"â€“";"4 %";"Â";"2.052";"07.02.â€“13.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"10.02.2013";"Â";"40 %";"27 %";"15 %";"4 %";"7 %";"4 %";"â€“";"3 %";"Â";"2.338";"31.01.â€“06.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
"03.02.2013";"Â";"41 %";"27 %";"14 %";"4 %";"7 %";"4 %";"â€“";"3 %";"Â";"1.862";"24.01.â€“30.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2013.htm"
