"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"AfD";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"16.06.2018";"Â";"33 %";"18 %";"11 %";"8 %";"11 %";"15 %";"4 %";"Â";"2.310";"07.06.â€“13.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"09.06.2018";"Â";"32 %";"19 %";"12 %";"8 %";"11 %";"14 %";"4 %";"Â";"1.950";"30.05.â€“06.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"02.06.2018";"Â";"32 %";"18 %";"13 %";"7 %";"11 %";"15 %";"4 %";"Â";"1.397";"24.05.â€“29.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"26.05.2018";"Â";"33 %";"17 %";"13 %";"8 %";"11 %";"14 %";"4 %";"Â";"1.946";"17.05.â€“23.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"19.05.2018";"Â";"33 %";"17 %";"13 %";"9 %";"10 %";"14 %";"4 %";"Â";"2.030";"09.05.â€“16.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"12.05.2018";"Â";"33 %";"17 %";"12 %";"9 %";"10 %";"14 %";"5 %";"Â";"1.489";"03.05.â€“08.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"05.05.2018";"Â";"34 %";"17 %";"12 %";"8 %";"10 %";"14 %";"5 %";"Â";"1.507";"26.04.â€“02.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"28.04.2018";"Â";"32 %";"18 %";"12 %";"9 %";"11 %";"14 %";"4 %";"Â";"2.350";"19.04.â€“25.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"21.04.2018";"Â";"33 %";"18 %";"12 %";"9 %";"11 %";"13 %";"4 %";"Â";"2.437";"12.04.â€“18.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"14.04.2018";"Â";"33 %";"18 %";"11 %";"9 %";"11 %";"14 %";"4 %";"Â";"1.786";"05.04.â€“11.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"07.04.2018";"Â";"34 %";"17 %";"12 %";"8 %";"11 %";"13 %";"5 %";"Â";"1.414";"29.03.â€“05.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"31.03.2018";"Â";"34 %";"18 %";"12 %";"8 %";"11 %";"12 %";"5 %";"Â";"1.982";"22.03.â€“28.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"24.03.2018";"Â";"34 %";"18 %";"12 %";"9 %";"10 %";"13 %";"4 %";"Â";"1.972";"15.03.â€“21.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"17.03.2018";"Â";"33 %";"19 %";"11 %";"9 %";"10 %";"14 %";"4 %";"Â";"1.959";"08.03.â€“14.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"10.03.2018";"Â";"33 %";"19 %";"12 %";"8 %";"10 %";"13 %";"5 %";"Â";"1.869";"01.03.â€“07.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"03.03.2018";"Â";"33 %";"16 %";"12 %";"9 %";"11 %";"15 %";"4 %";"Â";"1.890";"22.02.â€“28.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
