"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Rechte";"Sonstige";"institut";"url"
"17.12.1998";"Â";"37 %";"40 %";"6 %";"5 %";"5 %";"â€“";"7 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"10.12.1998";"Â";"39 %";"38 %";"6 %";"5 %";"6 %";"â€“";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"03.12.1998";"Â";"39 %";"38 %";"7 %";"5 %";"5 %";"â€“";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"26.11.1998";"Â";"38 %";"38 %";"7 %";"5 %";"5 %";"â€“";"7 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"19.11.1998";"Â";"37 %";"39 %";"7 %";"6 %";"6 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"12.11.1998";"Â";"38 %";"39 %";"6 %";"6 %";"6 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"05.11.1998";"Â";"38 %";"39 %";"7 %";"6 %";"5 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"29.10.1998";"Â";"39 %";"39 %";"6 %";"6 %";"5 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"Wahl 1998";"Â";"35,1 %";"40,9 %";"6,7 %";"6,2 %";"5,1 %";"3,3 %";"2,6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"29.09.1998";"Â";"38 %";"42 %";"6 %";"4 %";"5 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"25.09.1998";"Â";"38 %";"42 %";"6 %";"5 %";"4 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"24.09.1998";"Â";"38 %";"42 %";"6 %";"5 %";"4 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"23.09.1998";"Â";"37 %";"42 %";"6 %";"6 %";"4 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"22.09.1998";"Â";"38 %";"41 %";"7 %";"5 %";"4 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"21.09.1998";"Â";"38 %";"41 %";"7 %";"5 %";"4 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"20.09.1998";"Â";"38 %";"42 %";"6 %";"5 %";"4 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"19.09.1998";"Â";"38 %";"42 %";"6 %";"5 %";"4 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"18.09.1998";"Â";"38 %";"42 %";"6 %";"5 %";"4 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"17.09.1998";"Â";"38 %";"42 %";"7 %";"4 %";"4 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"16.09.1998";"Â";"38 %";"42 %";"7 %";"4 %";"4 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"15.09.1998";"Â";"38 %";"41 %";"7 %";"5 %";"4 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"14.09.1998";"Â";"36 %";"42 %";"6 %";"5 %";"5 %";"â€“";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"13.09.1998";"Â";"36 %";"42 %";"6 %";"5 %";"5 %";"â€“";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"12.09.1998";"Â";"36 %";"42 %";"6 %";"5 %";"5 %";"â€“";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"11.09.1998";"Â";"37 %";"43 %";"6 %";"4 %";"4 %";"â€“";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"10.09.1998";"Â";"37 %";"42 %";"6 %";"4 %";"5 %";"â€“";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"09.09.1998";"Â";"37 %";"43 %";"6 %";"4 %";"4 %";"â€“";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"08.09.1998";"Â";"37 %";"43 %";"7 %";"4 %";"4 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"07.09.1998";"Â";"37 %";"43 %";"6 %";"5 %";"4 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"06.09.1998";"Â";"37 %";"42 %";"6 %";"5 %";"4 %";"â€“";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"05.09.1998";"Â";"37 %";"42 %";"6 %";"5 %";"4 %";"â€“";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"04.09.1998";"Â";"37 %";"42 %";"7 %";"5 %";"4 %";"â€“";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"03.09.1998";"Â";"37 %";"42 %";"6 %";"5 %";"4 %";"â€“";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"02.09.1998";"Â";"37 %";"42 %";"6 %";"5 %";"4 %";"â€“";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
"01.09.1998";"Â";"37 %";"42 %";"5 %";"5 %";"5 %";"â€“";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/1998.htm"
