"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"Linke.PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"27.12.2006";"Â";"33 %";"28 %";"11 %";"13 %";"9 %";"6 %";"Â";"2.501";"18.12.â€“22.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2006.htm"
"20.12.2006";"Â";"31 %";"29 %";"10 %";"14 %";"10 %";"6 %";"Â";"2.498";"11.12.â€“15.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2006.htm"
"13.12.2006";"Â";"32 %";"27 %";"11 %";"14 %";"10 %";"6 %";"Â";"2.505";"04.12.â€“08.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2006.htm"
"06.12.2006";"Â";"33 %";"26 %";"11 %";"13 %";"11 %";"6 %";"Â";"2.509";"27.11.â€“01.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2006.htm"
"29.11.2006";"Â";"32 %";"28 %";"11 %";"12 %";"11 %";"6 %";"Â";"2.504";"20.11.â€“24.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2006.htm"
"22.11.2006";"Â";"29 %";"29 %";"11 %";"15 %";"10 %";"6 %";"Â";"2.502";"13.11.â€“17.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2006.htm"
"15.11.2006";"Â";"29 %";"29 %";"10 %";"15 %";"11 %";"6 %";"Â";"2.503";"06.11.â€“10.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2006.htm"
"08.11.2006";"Â";"30 %";"30 %";"9 %";"14 %";"11 %";"6 %";"Â";"2.501";"30.10.â€“03.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2006.htm"
"01.11.2006";"Â";"28 %";"29 %";"11 %";"15 %";"11 %";"6 %";"Â";"2.509";"23.10.â€“27.10.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2006.htm"
"25.10.2006";"Â";"30 %";"29 %";"11 %";"14 %";"10 %";"6 %";"Â";"2.503";"16.10.â€“20.10.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2006.htm"
