"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"22.12.2008";"Â";"37 %";"24 %";"10 %";"12 %";"12 %";"5 %";"Â";"2.503";"15.12.â€“19.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"16.12.2008";"Â";"37 %";"24 %";"10 %";"13 %";"11 %";"5 %";"Â";"2.502";"08.12.â€“12.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"10.12.2008";"Â";"38 %";"23 %";"11 %";"12 %";"11 %";"5 %";"Â";"2.501";"01.12.â€“05.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"03.12.2008";"Â";"38 %";"23 %";"10 %";"12 %";"12 %";"5 %";"Â";"2.505";"24.11.â€“28.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"26.11.2008";"Â";"38 %";"23 %";"11 %";"11 %";"12 %";"5 %";"Â";"2.500";"17.11.â€“21.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"19.11.2008";"Â";"36 %";"23 %";"10 %";"13 %";"12 %";"6 %";"Â";"2.500";"10.11.â€“14.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"12.11.2008";"Â";"37 %";"23 %";"9 %";"12 %";"13 %";"6 %";"Â";"2.501";"03.11.â€“07.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"05.11.2008";"Â";"36 %";"26 %";"7 %";"12 %";"13 %";"6 %";"Â";"2.501";"27.10.â€“31.10.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"29.10.2008";"Â";"36 %";"24 %";"8 %";"13 %";"13 %";"6 %";"Â";"2.503";"20.10.â€“24.10.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"22.10.2008";"Â";"37 %";"24 %";"9 %";"12 %";"13 %";"5 %";"Â";"2.501";"13.10.â€“17.10.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"15.10.2008";"Â";"35 %";"24 %";"10 %";"13 %";"12 %";"6 %";"Â";"2.509";"06.10.â€“10.10.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"08.10.2008";"Â";"33 %";"27 %";"9 %";"13 %";"13 %";"5 %";"Â";"2.008";"29.09.â€“02.10.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"01.10.2008";"Â";"37 %";"26 %";"8 %";"11 %";"13 %";"5 %";"Â";"2.501";"22.09.â€“26.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"24.09.2008";"Â";"36 %";"25 %";"9 %";"11 %";"14 %";"5 %";"Â";"2.503";"15.09.â€“19.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"17.09.2008";"Â";"38 %";"25 %";"8 %";"10 %";"14 %";"5 %";"Â";"2.500";"08.09.â€“12.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"09.09.2008";"Â";"37 %";"26 %";"8 %";"11 %";"14 %";"4 %";"Â";"1.002";"08.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"09.09.2008";"Â";"37 %";"22 %";"10 %";"12 %";"14 %";"5 %";"Â";"2.501";"01.09.â€“05.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"03.09.2008";"Â";"37 %";"21 %";"10 %";"13 %";"14 %";"5 %";"Â";"2.502";"25.08.â€“29.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"27.08.2008";"Â";"37 %";"20 %";"10 %";"12 %";"15 %";"6 %";"Â";"2.501";"18.08.â€“24.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"20.08.2008";"Â";"37 %";"20 %";"11 %";"13 %";"14 %";"5 %";"Â";"2.500";"11.08.â€“15.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"13.08.2008";"Â";"37 %";"20 %";"11 %";"12 %";"14 %";"6 %";"Â";"2.501";"04.08.â€“08.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"06.08.2008";"Â";"38 %";"22 %";"10 %";"11 %";"14 %";"5 %";"Â";"2.500";"28.07.â€“01.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"30.07.2008";"Â";"38 %";"21 %";"10 %";"12 %";"14 %";"5 %";"Â";"2.502";"21.07.â€“25.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"23.07.2008";"Â";"39 %";"21 %";"10 %";"11 %";"14 %";"5 %";"Â";"2.501";"14.07.â€“18.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"16.07.2008";"Â";"36 %";"23 %";"10 %";"13 %";"13 %";"5 %";"Â";"2.502";"07.07.â€“11.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"09.07.2008";"Â";"36 %";"22 %";"10 %";"13 %";"13 %";"6 %";"Â";"2.502";"30.06.â€“04.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"02.07.2008";"Â";"35 %";"22 %";"10 %";"14 %";"14 %";"5 %";"Â";"2.500";"23.06.â€“27.06.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"25.06.2008";"Â";"36 %";"22 %";"9 %";"13 %";"15 %";"5 %";"Â";"2.500";"16.06.â€“22.06.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"18.06.2008";"Â";"36 %";"21 %";"11 %";"13 %";"14 %";"5 %";"Â";"2.501";"09.06.â€“13.06.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"11.06.2008";"Â";"35 %";"20 %";"11 %";"14 %";"15 %";"5 %";"Â";"2.501";"02.06.â€“06.06.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"04.06.2008";"Â";"36 %";"20 %";"12 %";"13 %";"15 %";"4 %";"Â";"2.501";"26.05.â€“30.05.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"28.05.2008";"Â";"35 %";"23 %";"11 %";"12 %";"14 %";"5 %";"Â";"2.002";"19.05.â€“23.05.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"20.05.2008";"Â";"36 %";"23 %";"11 %";"12 %";"13 %";"5 %";"Â";"2.001";"13.05.â€“16.05.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"14.05.2008";"Â";"36 %";"24 %";"11 %";"12 %";"12 %";"5 %";"Â";"2.500";"05.05.â€“09.05.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"07.05.2008";"Â";"37 %";"23 %";"10 %";"11 %";"14 %";"5 %";"Â";"2.003";"28.04.â€“02.05.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"29.04.2008";"Â";"38 %";"23 %";"10 %";"10 %";"14 %";"5 %";"Â";"2.503";"21.04.â€“25.04.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"23.04.2008";"Â";"38 %";"24 %";"9 %";"10 %";"14 %";"5 %";"Â";"2.500";"14.04.â€“18.04.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"16.04.2008";"Â";"38 %";"24 %";"9 %";"11 %";"14 %";"4 %";"Â";"2.501";"07.04.â€“11.04.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"09.04.2008";"Â";"38 %";"24 %";"10 %";"11 %";"13 %";"4 %";"Â";"2.503";"31.03.â€“04.04.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"02.04.2008";"Â";"38 %";"23 %";"10 %";"11 %";"14 %";"4 %";"Â";"2.001";"25.03.â€“28.03.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"26.03.2008";"Â";"38 %";"22 %";"11 %";"11 %";"14 %";"4 %";"Â";"2.000";"17.03.â€“20.03.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"18.03.2008";"Â";"37 %";"22 %";"11 %";"11 %";"14 %";"5 %";"Â";"2.501";"10.03.â€“14.03.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"12.03.2008";"Â";"38 %";"23 %";"11 %";"10 %";"14 %";"4 %";"Â";"2.501";"03.03.â€“07.03.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"05.03.2008";"Â";"38 %";"24 %";"10 %";"10 %";"14 %";"4 %";"Â";"2.501";"25.02.â€“29.02.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"27.02.2008";"Â";"36 %";"28 %";"9 %";"10 %";"12 %";"5 %";"Â";"2.501";"18.02.â€“22.02.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"20.02.2008";"Â";"35 %";"29 %";"9 %";"9 %";"13 %";"5 %";"Â";"2.500";"11.02.â€“15.02.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"13.02.2008";"Â";"36 %";"27 %";"9 %";"10 %";"13 %";"5 %";"Â";"2.501";"04.02.â€“08.02.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"02.02.2008";"Â";"35 %";"25 %";"10 %";"11 %";"14 %";"5 %";"Â";"2.502";"28.01.â€“01.02.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"30.01.2008";"Â";"39 %";"27 %";"8 %";"9 %";"12 %";"5 %";"Â";"2.502";"21.01.â€“25.01.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"23.01.2008";"Â";"38 %";"28 %";"8 %";"10 %";"11 %";"5 %";"Â";"2.501";"14.01.â€“18.01.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"15.01.2008";"Â";"37 %";"27 %";"9 %";"11 %";"12 %";"4 %";"Â";"2.501";"07.01.â€“11.01.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
"09.01.2008";"Â";"37 %";"27 %";"9 %";"11 %";"11 %";"5 %";"Â";"1.501";"02.01.â€“04.01.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2008.htm"
