"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"PIRATEN";"AfD";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"22.09.2013";"Â";"41,5 %";"25,7 %";"8,4 %";"4,8 %";"8,6 %";"2,2 %";"4,7 %";"4,0 %";"Â";"Bundestagswahl";"Bundestagswahl";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2013.htm"
"20.09.2013";"Â";"40 %";"26 %";"10 %";"5 %";"9 %";"2 %";"4 %";"4 %";"Â";"1.995";"16.09.â€“19.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2013.htm"
"17.09.2013";"Â";"39 %";"25 %";"9 %";"5 %";"10 %";"3 %";"3 %";"6 %";"Â";"2.502";"10.09.â€“16.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2013.htm"
"11.09.2013";"Â";"39 %";"25 %";"9 %";"6 %";"10 %";"3 %";"3 %";"5 %";"Â";"2.500";"03.09.â€“09.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2013.htm"
"04.09.2013";"Â";"40 %";"23 %";"11 %";"5 %";"9 %";"3 %";"4 %";"5 %";"Â";"2.502";"27.08.â€“02.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2013.htm"
"28.08.2013";"Â";"41 %";"22 %";"11 %";"5 %";"10 %";"3 %";"3 %";"5 %";"Â";"2.501";"20.08.â€“26.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2013.htm"
"21.08.2013";"Â";"41 %";"22 %";"13 %";"6 %";"8 %";"3 %";"2 %";"5 %";"Â";"2.502";"13.08.â€“19.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2013.htm"
"14.08.2013";"Â";"40 %";"23 %";"13 %";"5 %";"8 %";"3 %";"3 %";"5 %";"Â";"2.500";"06.08.â€“12.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2013.htm"
"07.08.2013";"Â";"40 %";"23 %";"14 %";"5 %";"7 %";"3 %";"3 %";"5 %";"Â";"3.003";"29.07.â€“05.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2013.htm"
"31.07.2013";"Â";"41 %";"22 %";"13 %";"5 %";"8 %";"3 %";"2 %";"6 %";"Â";"2.501";"22.07.â€“26.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2013.htm"
"24.07.2013";"Â";"41 %";"22 %";"12 %";"5 %";"9 %";"4 %";"2 %";"5 %";"Â";"2.500";"15.07.â€“19.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2013.htm"
"17.07.2013";"Â";"41 %";"23 %";"14 %";"5 %";"8 %";"2 %";"2 %";"5 %";"Â";"2.502";"08.07.â€“13.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2013.htm"
"10.07.2013";"Â";"41 %";"22 %";"15 %";"5 %";"9 %";"2 %";"2 %";"4 %";"Â";"2.503";"01.07.â€“05.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2013.htm"
"03.07.2013";"Â";"41 %";"22 %";"14 %";"5 %";"9 %";"2 %";"2 %";"5 %";"Â";"2.501";"24.06.â€“28.06.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2013.htm"
