"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"Sonstige";"Â";"NichtwÃ¤hler/Unentschlos.";"institut";"url"
"Wahl 2009";"Â";"33,8 %";"23,0 %";"10,7 %";"14,6 %";"11,9 %";"6,0 %";"Â";"29,2 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"18.09.2009";"Â";"36,2 %";"24,2 %";"11,7 %";"12,5 %";"11,0 %";"4,4 %";"Â";"19,8 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"24.08.2009";"Â";"37,1 %";"22,1 %";"12,9 %";"12,6 %";"9,6 %";"5,7 %";"Â";"19,0 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"17.07.2009";"Â";"35,8 %";"23,4 %";"14,1 %";"13,1 %";"9,5 %";"4,1 %";"Â";"19,8 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"18.06.2009";"Â";"36,3 %";"24,4 %";"10,5 %";"14,0 %";"10,0 %";"4,8 %";"Â";"22,1 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"14.05.2009";"Â";"35,2 %";"28,1 %";"10,4 %";"13,8 %";"8,8 %";"3,7 %";"Â";"19,9 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"09.04.2009";"Â";"36,4 %";"25,9 %";"9,9 %";"16,2 %";"8,4 %";"3,2 %";"Â";"19,9 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"17.03.2009";"Â";"35,2 %";"26,2 %";"10,8 %";"15,4 %";"9,2 %";"3,2 %";"Â";"19,4 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"17.02.2009";"Â";"37,4 %";"27,1 %";"10,3 %";"13,5 %";"8,9 %";"2,8 %";"Â";"19,8 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"23.01.2009";"Â";"37,7 %";"27,2 %";"10,7 %";"12,4 %";"9,5 %";"2,5 %";"Â";"20,0 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"17.12.2008";"Â";"40,1 %";"23,8 %";"11,0 %";"12,6 %";"10,5 %";"2,0 %";"Â";"19,6 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"20.11.2008";"Â";"33,8 %";"24,3 %";"10,3 %";"13,9 %";"13,5 %";"4,2 %";"Â";"19,4 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"22.10.2008";"Â";"36,8 %";"24,3 %";"9,5 %";"12,6 %";"12,7 %";"4,1 %";"Â";"20,9 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"23.09.2008";"Â";"38,5 %";"24,4 %";"7,2 %";"11,9 %";"11,9 %";"6,1 %";"Â";"22,9 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"25.08.2008";"Â";"38,0 %";"22,3 %";"11,6 %";"11,7 %";"12,9 %";"3,5 %";"Â";"20,8 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"24.07.2008";"Â";"35,5 %";"27,9 %";"11,6 %";"11,3 %";"10,4 %";"3,3 %";"Â";"20,8 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"27.06.2008";"Â";"37,1 %";"23,4 %";"12,4 %";"10,7 %";"11,4 %";"5,0 %";"Â";"20,7 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"22.05.2008";"Â";"36,2 %";"25,0 %";"11,3 %";"12,6 %";"12,8 %";"2,1 %";"Â";"22,2 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"23.04.2008";"Â";"39,2 %";"27,9 %";"10,8 %";"8,1 %";"11,3 %";"2,7 %";"Â";"23,7 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
