"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"institut";"url"
"Wahl 1998";"Â";"35,1 %";"40,9 %";"6,7 %";"6,2 %";"5,1 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Sep. 1998";"Â";"37,9 %";"40,5 %";"7,9 %";"5,3 %";"2,9 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"14.08.1998";"Â";"36,0 %";"46,9 %";"6,6 %";"3,6 %";"3,3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"17.07.1998";"Â";"33,6 %";"49,1 %";"8,3 %";"2,6 %";"3,2 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"19.06.1998";"Â";"31,0 %";"47,4 %";"9,9 %";"3,7 %";"3,9 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"15.05.1998";"Â";"29,3 %";"48,9 %";"7,7 %";"4,9 %";"4,1 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"17.04.1998";"Â";"30,4 %";"51,9 %";"7,1 %";"4,2 %";"3,1 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"13.03.1998";"Â";"30,3 %";"51,2 %";"8,7 %";"3,5 %";"2,4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"13.02.1998";"Â";"34,0 %";"43,4 %";"11,8 %";"4,2 %";"2,6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"16.01.1998";"Â";"33,6 %";"40,3 %";"12,8 %";"4,6 %";"3,5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Dez. 1997";"Â";"34,4 %";"42,0 %";"11,7 %";"3,6 %";"2,5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Nov. 1997";"Â";"32,7 %";"40,2 %";"13,2 %";"5,0 %";"3,2 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Okt. 1997";"Â";"37,8 %";"39,8 %";"11,3 %";"3,2 %";"3,7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Sep. 1997";"Â";"36,5 %";"43,7 %";"9,8 %";"3,0 %";"2,9 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Aug. 1997";"Â";"32,1 %";"45,8 %";"11,8 %";"3,0 %";"3,8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Jun. 1997";"Â";"31,7 %";"42,3 %";"12,7 %";"4,4 %";"4,4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Mai 1997";"Â";"35,8 %";"45,0 %";"9,5 %";"2,5 %";"3,5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Apr. 1997";"Â";"35,3 %";"42,0 %";"12,3 %";"2,2 %";"3,4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Mrz. 1997";"Â";"35,7 %";"37,8 %";"14,4 %";"3,7 %";"3,9 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Feb. 1997";"Â";"37,4 %";"39,5 %";"12,3 %";"3,0 %";"2,7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Jan. 1997";"Â";"40,0 %";"34,1 %";"13,3 %";"2,9 %";"4,3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Dez. 1996";"Â";"41,9 %";"37,0 %";"13,7 %";"2,0 %";"3,1 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Nov. 1996";"Â";"39,9 %";"35,6 %";"14,6 %";"3,9 %";"3,5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Okt. 1996";"Â";"37,9 %";"37,1 %";"13,6 %";"3,5 %";"3,6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Sep. 1996";"Â";"39,3 %";"36,4 %";"13,3 %";"3,7 %";"3,5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Aug. 1996";"Â";"37,6 %";"38,2 %";"11,4 %";"4,5 %";"3,7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Jun. 1996";"Â";"40,2 %";"34,7 %";"13,0 %";"4,8 %";"3,4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Mai 1996";"Â";"41,4 %";"34,2 %";"12,0 %";"4,3 %";"3,8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Apr. 1996";"Â";"42,5 %";"31,1 %";"13,1 %";"4,8 %";"4,1 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Mrz. 1996";"Â";"44,0 %";"33,9 %";"13,8 %";"2,8 %";"2,5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Feb. 1996";"Â";"40,5 %";"34,7 %";"13,4 %";"3,6 %";"4,5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Jan. 1996";"Â";"43,4 %";"33,2 %";"13,4 %";"3,1 %";"4,0 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Dez. 1995";"Â";"46,9 %";"31,1 %";"11,9 %";"2,9 %";"4,2 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Nov. 1995";"Â";"49,2 %";"30,3 %";"13,4 %";"1,6 %";"2,8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Okt. 1995";"Â";"51,8 %";"27,0 %";"13,4 %";"2,6 %";"2,9 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Sep. 1995";"Â";"45,7 %";"31,3 %";"14,5 %";"3,4 %";"2,6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Jul. 1995";"Â";"46,8 %";"32,0 %";"11,7 %";"3,0 %";"3,1 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Jun. 1995";"Â";"40,6 %";"35,8 %";"13,8 %";"2,7 %";"3,1 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Mai 1995";"Â";"42,7 %";"35,6 %";"13,2 %";"1,9 %";"3,8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Apr. 1995";"Â";"39,3 %";"40,5 %";"11,7 %";"2,2 %";"3,5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Mrz. 1995";"Â";"40,1 %";"37,7 %";"10,4 %";"4,1 %";"3,8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Feb. 1995";"Â";"38,1 %";"39,7 %";"11,9 %";"3,5 %";"3,7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Jan. 1995";"Â";"40,9 %";"38,3 %";"9,5 %";"4,0 %";"3,7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Dez. 1994";"Â";"43,8 %";"36,9 %";"9,7 %";"3,0 %";"3,8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
"Nov. 1994";"Â";"43,3 %";"37,6 %";"9,2 %";"3,3 %";"3,8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-1998.htm"
