"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"institut";"url"
"Wahl 2002";"Â";"38,5 %";"38,5 %";"8,6 %";"7,4 %";"4,0 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"13.09.2002";"Â";"35 %";"45 %";"8 %";"8 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"06.09.2002";"Â";"39 %";"40 %";"8 %";"8 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"30.08.2002";"Â";"39 %";"42 %";"7 %";"7 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"23.08.2002";"Â";"39 %";"40 %";"8 %";"10 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"16.08.2002";"Â";"43 %";"37 %";"8 %";"9 %";"2 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"09.08.2002";"Â";"42 %";"37 %";"7 %";"9 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"26.07.2002";"Â";"43 %";"35 %";"7 %";"10 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"12.07.2002";"Â";"41 %";"40 %";"7 %";"8 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"28.06.2002";"Â";"40 %";"38 %";"8 %";"8 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"14.06.2002";"Â";"40 %";"33 %";"8 %";"12 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"31.05.2002";"Â";"41 %";"33 %";"8 %";"11 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"10.05.2002";"Â";"42 %";"33 %";"9 %";"10 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"26.04.2002";"Â";"45 %";"33 %";"7 %";"10 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"12.04.2002";"Â";"44 %";"36 %";"7 %";"7 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"22.03.2002";"Â";"41 %";"35 %";"8 %";"9 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"08.03.2002";"Â";"45 %";"35 %";"6 %";"7 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"22.02.2002";"Â";"43 %";"38 %";"8 %";"7 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"08.02.2002";"Â";"41 %";"40 %";"5 %";"10 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"18.01.2002";"Â";"43 %";"38 %";"5 %";"8 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"11.01.2002";"Â";"42 %";"39 %";"5 %";"7 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"14.12.2001";"Â";"38 %";"44 %";"5 %";"6 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"15.11.2001";"Â";"39 %";"42 %";"6 %";"6 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
