"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"institut";"url"
"Wahl 2009";"Â";"33,8 %";"23,0 %";"10,7 %";"14,6 %";"11,9 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"18.09.2009";"Â";"38 %";"25 %";"10 %";"14 %";"10 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"11.09.2009";"Â";"39 %";"23 %";"9 %";"13 %";"12 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"04.09.2009";"Â";"39 %";"23 %";"10 %";"16 %";"9 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"28.08.2009";"Â";"40 %";"24 %";"12 %";"12 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"21.08.2009";"Â";"41 %";"24 %";"11 %";"12 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"07.08.2009";"Â";"37 %";"24 %";"12 %";"13 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"24.07.2009";"Â";"37 %";"25 %";"11 %";"13 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"03.07.2009";"Â";"37 %";"26 %";"11 %";"12 %";"8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"12.06.2009";"Â";"40 %";"22 %";"12 %";"14 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"29.05.2009";"Â";"38 %";"30 %";"11 %";"9 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"08.05.2009";"Â";"39 %";"30 %";"9 %";"10 %";"8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
"24.04.2009";"Â";"41 %";"27 %";"8 %";"11 %";"9 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2009.htm"
