"datum";"Â.1";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"PIRATEN";"institut";"url"
"Wahl 2013";"Â";"41,5 %";"25,7 %";"8,4 %";"4,8 %";"8,6 %";"2,2 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"19.09.2013";"Â";"â€“";"â€“";"â€“";"â€“";"â€“";"â€“";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"12.09.2013";"Â";"44 %";"26 %";"10 %";"5 %";"6 %";"â€“";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"05.09.2013";"Â";"46 %";"27 %";"9 %";"4 %";"7 %";"â€“";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"29.08.2013";"Â";"45 %";"28 %";"12 %";"4 %";"5 %";"â€“";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"23.08.2013";"Â";"46 %";"27 %";"12 %";"4 %";"6 %";"â€“";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"14.08.2013";"Â";"47 %";"25 %";"12 %";"3 %";"6 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"02.08.2013";"Â";"41 %";"31 %";"15 %";"3 %";"4 %";"â€“";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"12.07.2013";"Â";"44 %";"26 %";"13 %";"4 %";"6 %";"â€“";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"28.06.2013";"Â";"50 %";"25 %";"11 %";"3 %";"5 %";"â€“";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"07.06.2013";"Â";"45 %";"29 %";"12 %";"2 %";"5 %";"â€“";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"17.05.2013";"Â";"43 %";"31 %";"13 %";"3 %";"5 %";"â€“";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"26.04.2013";"Â";"40 %";"31 %";"15 %";"2 %";"5 %";"â€“";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"12.04.2013";"Â";"48 %";"26 %";"14 %";"3 %";"4 %";"â€“";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"22.03.2013";"Â";"42 %";"31 %";"13 %";"2 %";"6 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"08.03.2013";"Â";"46 %";"26 %";"14 %";"3 %";"6 %";"â€“";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"22.02.2013";"Â";"41 %";"33 %";"15 %";"3 %";"5 %";"â€“";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"25.01.2013";"Â";"45 %";"31 %";"13 %";"2 %";"5 %";"2 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"11.01.2013";"Â";"49 %";"27 %";"13 %";"2 %";"4 %";"2 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"14.12.2012";"Â";"44 %";"34 %";"13 %";"2 %";"5 %";"1 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"30.11.2012";"Â";"40 %";"32 %";"15 %";"2 %";"6 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"16.11.2012";"Â";"43 %";"34 %";"13 %";"2 %";"4 %";"2 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"26.10.2012";"Â";"43 %";"31 %";"13 %";"2 %";"4 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"11.10.2012";"Â";"41 %";"37 %";"11 %";"1 %";"5 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"28.09.2012";"Â";"42 %";"31 %";"13 %";"2 %";"5 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"14.09.2012";"Â";"38 %";"33 %";"13 %";"2 %";"5 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"24.08.2012";"Â";"40 %";"30 %";"12 %";"4 %";"5 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"13.07.2012";"Â";"38 %";"32 %";"14 %";"2 %";"6 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"15.06.2012";"Â";"34 %";"36 %";"13 %";"3 %";"5 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"25.05.2012";"Â";"38 %";"34 %";"14 %";"2 %";"4 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"16.05.2012";"Â";"36 %";"33 %";"13 %";"3 %";"4 %";"9 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"27.04.2012";"Â";"36 %";"33 %";"14 %";"2 %";"4 %";"9 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"30.03.2012";"Â";"37 %";"32 %";"13 %";"2 %";"5 %";"11 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"09.03.2012";"Â";"38 %";"36 %";"12 %";"2 %";"6 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"10.02.2012";"Â";"41 %";"30 %";"13 %";"2 %";"5 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"27.01.2012";"Â";"39 %";"31 %";"16 %";"1 %";"7 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"13.01.2012";"Â";"41 %";"33 %";"14 %";"2 %";"4 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"16.12.2011";"Â";"35 %";"34 %";"18 %";"3 %";"5 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"25.11.2011";"Â";"38 %";"32 %";"16 %";"2 %";"4 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"11.11.2011";"Â";"36 %";"31 %";"17 %";"3 %";"6 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"28.10.2011";"Â";"35 %";"33 %";"16 %";"3 %";"5 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"14.10.2011";"Â";"36 %";"33 %";"15 %";"2 %";"4 %";"7 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"23.09.2011";"Â";"35 %";"33 %";"17 %";"2 %";"5 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"09.09.2011";"Â";"36 %";"34 %";"19 %";"2 %";"5 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"12.08.2011";"Â";"37 %";"32 %";"18 %";"4 %";"6 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"15.07.2011";"Â";"32 %";"32 %";"24 %";"3 %";"6 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"10.06.2011";"Â";"35 %";"30 %";"23 %";"3 %";"6 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"27.05.2011";"Â";"34 %";"30 %";"23 %";"3 %";"6 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"06.05.2011";"Â";"37 %";"26 %";"24 %";"3 %";"6 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"15.04.2011";"Â";"34 %";"28 %";"27 %";"2 %";"6 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"01.04.2011";"Â";"33 %";"30 %";"23 %";"3 %";"6 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"25.02.2011";"Â";"38 %";"36 %";"11 %";"4 %";"7 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"11.02.2011";"Â";"40 %";"29 %";"16 %";"3 %";"8 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"28.01.2011";"Â";"40 %";"28 %";"19 %";"4 %";"7 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"14.01.2011";"Â";"38 %";"33 %";"17 %";"3 %";"7 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"17.12.2010";"Â";"36 %";"31 %";"19 %";"3 %";"7 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"03.12.2010";"Â";"37 %";"28 %";"21 %";"4 %";"6 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"12.11.2010";"Â";"37 %";"28 %";"21 %";"4 %";"7 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"22.10.2010";"Â";"36 %";"30 %";"21 %";"3 %";"7 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"01.10.2010";"Â";"30 %";"32 %";"21 %";"4 %";"9 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"24.09.2010";"Â";"31 %";"32 %";"22 %";"4 %";"7 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"10.09.2010";"Â";"33 %";"33 %";"17 %";"3 %";"10 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"27.08.2010";"Â";"35 %";"30 %";"17 %";"4 %";"10 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"16.07.2010";"Â";"32 %";"36 %";"15 %";"4 %";"10 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"18.06.2010";"Â";"32 %";"34 %";"16 %";"3 %";"11 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"04.06.2010";"Â";"33 %";"31 %";"17 %";"6 %";"9 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"21.05.2010";"Â";"38 %";"29 %";"15 %";"3 %";"11 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"23.04.2010";"Â";"41 %";"27 %";"13 %";"6 %";"9 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"26.03.2010";"Â";"40 %";"28 %";"13 %";"6 %";"11 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
