Polling firm;Fieldwork date;Sample;Abs.;Arthaud;Poutou;Mélenchon;Hamon;Macron;Lassalle;Fillon;Dupont-Aignan;Asselineau;Le Pen;Cheminade
;;size;;LO;NPA;FI;PS;EM;Résistons!;LR;DLF;UPR;FN;S&P
;;;;;;;;;;;;;;
2017 election;23. Apr 17;–;22.23%;0.64%;1.09%;19.58%;6.36%;24.01%;1.21%;20.01%;4.70%;0.92%;21.30%;0.18%
Odoxa;21. Apr 17;666;–;0%;1%;19%;7.5%;24.5%;0.5%;19%;4.5%;1%;23%;0%
BVA;20–21 Apr 2017;1,134;20%;0.5%;1.5%;19.5%;8%;23%;1%;19%;4%;0.5%;23%;<0.5%
Ifop-Fiducial;18–21 Apr 2017;2,823;27%;0.5%;1.5%;18.5%;7%;24.5%;1%;19.5%;4%;1%;22.5%;<0.5%
Odoxa;20. Apr 17;1,433;–;0.5%;1.5%;19.5%;6%;25%;1%;19.5%;4%;1%;22%;0%
Elabe;19–20 Apr 2017;1,445;29%;0.5%;1.5%;19.5%;7%;24%;1%;20%;4%;1%;21.5%;<0.5%
Ipsos;19–20 Apr 2017;1,401;27%;0.5%;1.5%;19%;7.5%;24%;1.5%;19%;4%;1%;22%;<0.5%
Harris Interactive;18–20 Apr 2017;962;–;0.5%;1.5%;19%;7.5%;24.5%;1%;20%;4%;1%;21%;<0.5%
OpinionWay;18–20 Apr 2017;2,269;–;0%;2%;18%;8%;23%;1%;21%;4%;1%;22%;0%
Ifop-Fiducial;17–20 Apr 2017;2,81;27%;0.5%;1.5%;18.5%;7%;24%;1.5%;19.5%;4%;1%;22.5%;<0.5%
BVA;18–19 Apr 2017;1,098;20%;0.5%;1.5%;19%;8.5%;24%;0.5%;19%;3.5%;0.5%;23%;<0.5%
Harris Interactive;18–19 Apr 2017;2,812;–;0.5%;1.5%;19%;7.5%;25%;1%;19%;4%;0.5%;22%;<0.5%
OpinionWay;17–19 Apr 2017;2,394;–;0%;2%;19%;8%;23%;1%;20%;4%;1%;22%;0%
Ifop-Fiducial;16–19 Apr 2017;2,792;28%;0.5%;1.5%;18.5%;7.5%;23.5%;1.5%;19.5%;4%;1%;22.5%;<0.5%
OpinionWay;16–18 Apr 2017;2,417;–;0%;2%;19%;8%;23%;1%;20%;4%;1%;22%;0%
