Polling firm;Fieldwork date;Sample;Abs.;Arthaud;Poutou;Mélenchon;Jadot;Hamon;Macron;Bayrou;Lassalle;Fillon;Juppé;Dupont-Aignan;Asselineau;Le Pen;Cheminade
;;size;;LO;NPA;FI;EELV;PS;EM;MoDem;Résistons!;LR;LR;DLF;UPR;FN;S&P
;;;;;;;;;;;;;;;;;
BVA;15–17 Mar 2017;935;27%;1%;<0.5%;12%;–;12.5%;25%;–;–;19.5%;–;3%;1%;26%;–
Kantar Sofres;15–17 Mar 2017;1,062;27%;1.5%;1%;12%;–;12%;26%;–;0.5%;17%;–;3%;1%;26%;<0.5%
Ifop-Fiducial;14–17 Mar 2017;1,376;37.5%;1%;0.5%;10.5%;–;13.5%;26%;–;–;18%;–;3.5%;0.5%;26.5%;<0.5%
Odoxa;15–16 Mar 2017;672;–;1%;1%;10.5%;–;12.5%;26.5%;–;0%;19%;–;3%;0.5%;26%;0%
OpinionWay;14–16 Mar 2017;1,571;–;1%;0%;11%;–;12%;25%;–;–;20%;–;3%;–;28%;–
Ifop-Fiducial;13–16 Mar 2017;1,386;37%;1%;0.5%;11%;–;13.5%;25.5%;–;–;18%;–;3.5%;0.5%;26.5%;<0.5%
Ipsos;14–15 Mar 2017;8,205;34%;1%;0.5%;11.5%;–;12.5%;26%;–;–;17.5%;–;3.5%;0.5%;27%;<0.5%
OpinionWay;13–15 Mar 2017;1,554;–;1%;0%;12%;–;13%;25%;–;–;19%;–;3%;–;27%;–
Ifop-Fiducial;12–15 Mar 2017;1,399;36.5%;0.5%;0.5%;11.5%;–;13.5%;25.5%;–;–;18.5%;–;3.5%;<0.5%;26.5%;<0.5%
OpinionWay;12–14 Mar 2017;1,529;–;1%;0%;12%;–;13%;25%;–;–;19%;–;3%;–;27%;–
Ifop-Fiducial;10–14 Mar 2017;1,413;36%;0.5%;0.5%;11.5%;–;14%;25%;–;–;19%;–;3%;<0.5%;26.5%;<0.5%
OpinionWay;11–13 Mar 2017;1,528;–;1%;0%;11%;–;14%;24%;–;–;20%;–;3%;–;27%;–
Future Thinking;10–13 Mar 2017;811;–;0.5%;1%;10.5%;–;14%;23.5%;–;–;20%;–;3%;–;27%;0.5%
Ifop-Fiducial;9–13 Mar 2017;1,397;37%;0.5%;0.5%;11.5%;–;14%;25%;–;–;19%;–;3%;<0.5%;26.5%;<0.5%
OpinionWay;10–12 Mar 2017;1,61;–;1%;0%;11%;–;14%;25%;–;–;20%;–;2%;–;27%;–
BVA;8–10 Mar 2017;950;26%;0.5%;0.5%;11.5%;–;13.5%;26%;–;–;20%;–;2%;–;26%;–
Ifop-Fiducial;7–10 Mar 2017;1,379;36.5%;0.5%;0.5%;12%;–;13.5%;25.5%;–;–;19.5%;–;2.5%;–;26%;<0.5%
OpinionWay;7–9 Mar 2017;1,571;–;1%;0%;11%;–;14%;26%;–;–;20%;–;2%;–;26%;–
Ifop-Fiducial;6–9 Mar 2017;1,395;36.5%;1%;0.5%;12%;–;13.5%;25%;–;–;19%;–;3%;–;26%;<0.5%
Harris Interactive;6–8 Mar 2017;4,533;–;1%;<0.5%;12%;–;13%;26%;–;–;20%;–;3%;–;25%;–
OpinionWay;6–8 Mar 2017;1,509;–;1%;0%;10%;–;15%;25%;–;–;21%;–;2%;–;26%;–
Ifop-Fiducial;5–8 Mar 2017;1,394;36%;1%;0.5%;11.5%;–;13.5%;24.5%;–;–;19.5%;–;3.5%;–;26%;<0.5%
Ipsos;6–7 Mar 2017;644;–;1%;1%;12%;–;13.5%;23%;–;–;19.5%;–;2.5%;–;27%;0.5%
OpinionWay;5–7 Mar 2017;1,574;–;0%;0%;10%;–;16%;25%;–;–;21%;–;2%;–;26%;–
Ifop-Fiducial;3–7 Mar 2017;1,39;36%;0.5%;0.5%;11.5%;–;14%;25%;–;–;19%;–;3.5%;–;26%;<0.5%
Elabe;5–6 Mar 2017;1;41%;0.5%;0.5%;12%;–;13.5%;25.5%;–;–;19%;–;3%;–;26%;–
OpinionWay;4–6 Mar 2017;1,559;–;0%;0%;10%;–;16%;25%;–;–;20%;–;3%;–;26%;–
Ifop-Fiducial;2–6 Mar 2017;1,381;35.5%;0.5%;0.5%;11.5%;–;13.5%;25.5%;–;–;19%;–;3%;–;26.5%;<0.5%
OpinionWay;3–5 Mar 2017;1,671;–;0%;1%;11%;–;15%;24%;–;–;19%;–;3%;–;27%;–
Ipsos;1–5 Mar 2017;10,854;34%;1%;1%;11.5%;–;14%;25%;–;–;17.5%;–;3%;–;27%;<0.5%
Ifop-Fiducial*;2–4 Mar 2017;1,822;35%;0.5%;0.5%;12%;–;14%;25.5%;–;–;18.5%;–;2.5%;–;26.5%;<0.5%
;;;;0.5%;0.5%;11.5%;–;13%;23%;–;–;–;20%;3%;–;28.5%;<0.5%
Kantar Sofres;2–4 Mar 2017;700;31%;1%;1%;12%;–;16%;25%;–;–;17%;–;2%;–;26%;<0.5%
;;;;1%;1%;11%;–;13%;20%;–;–;–;24.5%;2.5%;–;27%;<0.5%
Ifop-Fiducial;28 Feb–3 Mar 2017;1,383;35%;0.5%;0.5%;11%;–;14%;24.5%;–;–;20%;–;2.5%;–;27%;<0.5%
Odoxa;1–2 Mar 2017;907;–;0.5%;1%;10%;–;14%;27%;–;–;19%;–;3%;–;25.5%;–
;;;;0.5%;1%;8%;–;11%;25%;–;–;–;26.5%;4%;–;24%;–
BVA;28 Feb–2 Mar 2017;924;28%;0.5%;1%;11.5%;–;15.5%;24%;–;–;19%;–;2.5%;–;26%;–
Elabe;28 Feb–2 Mar 2017;1,507;41%;1%;1%;12.5%;–;12.5%;24%;–;–;19%;–;3%;–;27%;–
OpinionWay;28 Feb–2 Mar 2017;1,654;–;0%;1%;11%;–;15%;24%;–;–;19%;–;3%;–;27%;–
Ifop-Fiducial;27 Feb–2 Mar 2017;1,394;37%;0.5%;0.5%;11%;–;14.5%;24%;–;–;21%;–;2.5%;–;26%;<0.5%
OpinionWay;27 Feb–1 Mar 2017;1,639;–;0%;1%;11%;–;16%;23%;–;–;21%;–;3%;–;25%;–
Ifop-Fiducial;26 Feb–1 Mar 2017;1,392;37.5%;1%;0.5%;11%;–;14%;24%;–;–;21%;–;3%;–;25.5%;<0.5%
OpinionWay;26–28 Feb 2017;1,629;–;0%;0%;11%;–;16%;24%;–;–;21%;–;3%;–;25%;–
Ifop-Fiducial;24–28 Feb 2017;1,398;37%;1%;0.5%;11.5%;–;14%;24%;–;–;20.5%;–;3%;–;25.5%;<0.5%
OpinionWay;25–27 Feb 2017;1,624;–;0%;0%;11%;–;15%;24%;–;–;21%;–;3%;–;26%;–
Ifop-Fiducial;23–27 Feb 2017;1,404;38%;1%;0.5%;11.5%;–;13.5%;24.5%;–;–;20%;–;2.5%;–;26%;0.5%
OpinionWay;24–26 Feb 2017;1,631;–;0%;0%;11%;–;15%;24%;–;–;21%;–;3%;–;26%;–
Kantar Sofres;23–24 Feb 2017;700;30%;1%;0.5%;10%;–;14%;25%;–;–;20%;–;2.5%;–;27%;<0.5%
Ifop-Fiducial;21–24 Feb 2017;1,417;39%;0.5%;0.5%;11%;2%;13%;23.5%;–;–;20.5%;–;2.5%;–;26%;0.5%
Odoxa;22–23 Feb 2017;884;–;0%;1%;12%;1%;13%;25%;–;–;19%;–;2%;–;27%;–
OpinionWay;21–23 Feb 2017;1,431;–;0%;1%;11%;2%;13%;23%;–;–;21%;–;3%;–;26%;–
Ifop-Fiducial;20–23 Feb 2017;1,395;39%;0.5%;1%;11%;2%;13.5%;22.5%;–;–;20.5%;–;2%;–;26.5%;0.5%
Harris Interactive;20–22 Feb 2017;5,249;–;1%;1%;13%;2%;14%;20%;–;–;21%;–;3%;–;25%;–
OpinionWay;20–22 Feb 2017;1,615;–;0%;1%;11%;2%;13%;22%;–;–;21%;–;4%;–;26%;–
Ifop-Fiducial;19–22 Feb 2017;1,399;38%;0.5%;1%;11%;1.5%;14%;19%;5.5%;–;19%;–;2%;–;26.5%;<0.5%
OpinionWay;19–21 Feb 2017;1,545;–;0%;0%;11%;2%;14%;22%;–;–;21%;–;4%;–;26%;–
Ifop-Fiducial;17–21 Feb 2017;1,386;38%;0.5%;1%;11.5%;1.5%;14%;19%;5.5%;–;19%;–;2%;–;26%;<0.5%
BVA;19–20 Feb 2017;628;26%;0.5%;0.5%;10.5%;2%;17%;21%;–;–;19%;–;2%;–;27.5%;–
Elabe;18–20 Feb 2017;995;43%;1%;1%;13%;1%;13%;18.5%;–;–;21%;–;3.5%;–;28%;–
;;;;1%;1%;12%;1%;12%;17%;6%;–;20%;–;3%;–;27%;–
OpinionWay;18–20 Feb 2017;1,535;–;0%;1%;11%;1%;15%;21%;–;–;21%;–;4%;–;26%;–
Ifop-Fiducial*;17–20 Feb 2017;1,838;–;0.5%;0.5%;12%;2%;15.5%;22%;–;–;20%;–;2%;–;25.5%;<0.5%
Ifop-Fiducial;16–20 Feb 2017;1,397;38%;0.5%;1%;11.5%;1.5%;14%;19%;5.5%;–;18.5%;–;2.5%;–;26%;<0.5%
OpinionWay;17–19 Feb 2017;1,534;–;0%;0%;12%;2%;16%;20%;–;–;20%;–;3%;–;27%;–
Ifop-Fiducial;14–17 Feb 2017;1,399;38%;0.5%;0.5%;11.5%;2%;14%;18.5%;5.5%;–;18.5%;–;3%;–;26%;<0.5%
OpinionWay;14–16 Feb 2017;1,605;–;0%;0%;13%;2%;16%;20%;–;–;20%;–;3%;–;26%;–
Ifop-Fiducial;13–16 Feb 2017;1,396;37%;0.5%;0.5%;11%;2%;14%;19.5%;5%;–;18.5%;–;3%;–;26%;<0.5%
OpinionWay;13–15 Feb 2017;1,602;–;0%;0%;12%;2%;16%;21%;–;–;20%;–;3%;–;26%;–
Ifop-Fiducial;12–15 Feb 2017;1,394;37%;0.5%;0.5%;11.5%;1.5%;14%;19.5%;5%;–;18.5%;–;3%;–;26%;<0.5%
OpinionWay;12–14 Feb 2017;1,456;–;0%;1%;11%;2%;15%;21%;–;–;20%;–;3%;–;27%;–
Dedicated Research**;10–14 Feb 2017;1,552;–;1.4%;0.7%;13.1%;2.3%;17.0%;23.0%;–;–;17.8%;–;2.2%;–;22.6%;–
;;1,576;;1.4%;0.6%;12.7%;2.1%;16.4%;21.3%;4.9%;–;16.7%;–;1.9%;–;22.1%;–
Ifop-Fiducial;10–14 Feb 2017;1,402;37%;0.5%;0.5%;11.5%;1.5%;14.5%;19.5%;5%;–;18.5%;–;3%;–;25.5%;<0.5%
OpinionWay;11–13 Feb 2017;1,422;–;0%;0%;11%;2%;15%;22%;–;–;20%;–;3%;–;27%;–
Ifop-Fiducial;9–13 Feb 2017;1,392;38%;0.5%;0.5%;11.5%;1.5%;14.5%;19.5%;5.5%;–;18%;–;2.5%;–;26%;<0.5%
OpinionWay;10–12 Feb 2017;1,59;–;0%;0%;11%;2%;15%;22%;–;–;21%;–;3%;–;26%;–
Ipsos;7–12 Feb 2017;11,02;–;0.5%;0.5%;12%;2%;14.5%;23%;–;–;18.5%;–;3%;–;26%;<0.5%
;;;;0.5%;0.5%;11.5%;2%;14%;20%;6%;–;17.5%;–;3%;–;25%;<0.5%
Ifop-Fiducial;7–10 Feb 2017;1,396;38.5%;0.5%;<0.5%;11%;1.5%;15%;20.5%;5.5%;–;17.5%;–;2.5%;–;26%;<0.5%
