Polling firm;Fieldwork date;Sample;Abs.;Arthaud;Poutou;Mélenchon;Jadot;Hollande;Valls;Montebourg;Hamon;Peillon;Pinel;Macron;Bayrou;Fillon;Dupont-Aignan;Le Pen;Cheminade
;;size;;LO;NPA;FI;EELV;PS;PS;PS;PS;PS;PRG;EM;MoDem;LR;DLF;FN;S&P
;;;;;;;;;;;;;;;;;;;
Ipsos;20. Jan 17;992;–;1%;1%;15%;2%;–;9%;–;–;–;–;18%;–;25%;2%;27%;<0.5%
;;;;1%;1%;14%;2%;–;–;7%;–;–;–;20%;–;26%;2%;27%;<0.5%
;;;;1%;1%;13%;2%;–;–;–;8%;–;–;20%;–;26%;2%;27%;<0.5%
Ipsos;10–15 Jan 2017;10,986;–;1%;1%;15%;2.5%;–;10%;–;–;–;–;19%;–;24%;2.5%;25%;<0.5%
;;;;1%;1%;14%;2.5%;–;9%;–;–;–;–;17%;5%;23%;2.5%;25%;<0.5%
;;;;1%;1%;14%;2.5%;–;–;7%;–;–;–;21%;–;25%;2.5%;26%;<0.5%
;;;;1%;1%;13%;2.5%;–;–;6%;–;–;–;19%;5%;24%;2.5%;26%;<0.5%
;;;;1%;1%;14%;2.5%;–;–;–;7%;–;–;21%;–;25%;2.5%;26%;<0.5%
BVA;6–8 Jan 2017;644;24%;1%;1%;13%;2.5%;–;11%;–;–;–;–;16%;5%;24%;1.5%;25%;–
;;638;;1.5%;1%;12.5%;3%;–;–;6.5%;–;–;–;20%;5%;24%;1.5%;25%;–
;;637;;1%;0.5%;12.5%;2.5%;–;–;–;6%;–;–;20%;6%;24%;1.5%;26%;–
;;629;;1%;1%;13%;2.5%;–;–;–;–;5%;–;20%;6%;24%;1.5%;26%;–
Ifop-Fiducial;3–6 Jan 2017;1,86;–;0.5%;1%;12%;2%;–;10.5%;–;–;–;–;17%;5.5%;24%;1.5%;26%;<0.5%
;;;;1%;1%;11.5%;2%;–;–;5.5%;–;–;–;19%;7%;24.5%;2%;26.5%;<0.5%
;;;;1%;1%;11.5%;2%;–;–;–;6%;–;–;19%;7%;24.5%;1.5%;26%;0.5%
;;;;1%;1.5%;13%;2.5%;–;–;–;–;2.5%;–;20%;7%;25%;1.5%;26%;<0.5%
Elabe;3–4 Jan 2017;925;41%;1%;2%;14%;1.5%;–;13%;–;–;–;–;18%;–;26%;1.5%;23%;–
;;;;1%;2.5%;14%;1%;–;12%;–;–;–;–;16%;7.5%;23%;1%;22%;–
;;;;0.5%;2%;14%;1.5%;–;–;9%;–;–;–;24%;–;26%;1%;22%;–
;;;;1%;2%;13%;1%;–;–;7%;–;–;–;20%;7%;24%;2%;23%;–
;;;;1.5%;1.5%;14.5%;1.5%;–;–;–;6%;–;–;23%;–;26%;2%;24%;–
;;;;0.5%;2%;13%;1%;–;–;–;6%;–;–;21%;8%;24%;1.5%;23%;–
;;;;1%;2%;15%;1.5%;–;–;–;–;3%;–;24%;–;28%;1.5%;24%;–
;;;;0.5%;2%;14%;1%;–;–;–;–;3%;–;22%;7%;25%;1.5%;24%;–
Ipsos;2–7 Dec 2016;12,724;–;1%;1%;14%;2.5%;–;12%;–;–;–;<0.5%;15%;–;27%;2.5%;25%;<0.5%
;;;;1%;1%;13%;2.5%;–;11%;–;–;–;<0.5%;13%;6%;26%;2.5%;24%;<0.5%
;;;;1%;1%;14%;2.5%;–;–;7%;–;–;<0.5%;18%;–;29%;2.5%;25%;<0.5%
;;;;1%;1%;13%;2.5%;–;–;6%;–;–;<0.5%;16%;7%;27%;2.5%;24%;<0.5%
BVA;2–4 Dec 2016;934;28%;0.5%;0.5%;14%;2%;–;13%;–;–;–;0.5%;14%;6%;24%;1.5%;24%;–
;;;;0.5%;1%;17%;2.5%;–;21%;–;–;–;0.5%;–;–;29%;2.5%;26%;–
;;;;1%;1%;13%;2%;–;–;6.5%;–;–;0.5%;19%;8%;23%;2%;24%;–
Ifop-Fiducial;2–3 Dec 2016;1,401;–;0.5%;1%;12.5%;2%;–;10%;–;–;–;<0.5%;13.5%;7%;27.5%;2%;24%;–
;;;;0.5%;1%;12.5%;1.5%;–;–;6%;–;–;0.5%;16%;8%;28%;2%;24%;–
;;;;1%;1%;13.5%;1.5%;–;–;–;4%;–;<0.5%;16%;9%;28%;2%;24%;–
Ifop-Fiducial;28–30 Nov 2016;1,882;–;1%;1%;11%;2%;–;10%;–;–;–;0.5%;15%;5.5%;28%;2%;24%;–
;;;;0.5%;1%;11.5%;1.5%;–;–;6%;–;–;1%;17%;6%;29%;2.5%;24%;–
Elabe;28–29 Nov 2016;941;41%;0.5%;1%;12%;1.5%;7%;–;–;–;–;–;16%;6%;30%;2%;24%;–
;;;;0.5%;1%;12%;1.5%;–;9%;–;–;–;–;14%;5%;31%;2%;24%;–
;;;;0.5%;1%;12%;1.5%;–;–;5%;–;–;–;17%;5%;31%;2%;25%;–
Kantar Sofres;28. Nov 16;1,011;25%;0.5%;1%;13%;2%;8.5%;–;–;–;–;1%;17%;–;30%;2.5%;24%;0.5%
;;;;0.5%;1%;12%;2%;7.5%;–;–;–;–;1%;15%;6%;29%;2.5%;23%;0.5%
;;;;2%;1.5%;15%;3%;14%;–;–;–;–;1%;–;–;34%;3%;26%;0.5%
;;;;1.5%;1%;11.5%;2.5%;–;11%;–;–;–;0.5%;15%;–;29%;2.5%;25%;0.5%
;;;;1.5%;1%;12%;2%;–;9.5%;–;–;–;0.5%;13%;6%;28%;2%;24%;0.5%
;;;;1%;1%;12.5%;2%;–;–;7%;–;–;1%;17.5%;–;31%;2.5%;24%;0.5%
;;;;1%;1%;12%;1.5%;–;–;6%;–;–;1%;16%;6%;29%;2%;24%;0.5%
Harris Interactive;27. Nov 16;6,093;–;1%;1%;13%;3%;9%;–;–;–;–;–;14%;6%;26%;3%;24%;–
;;;;1%;1%;15%;2%;–;9%;–;–;–;–;13%;7%;26%;2%;24%;–
Odoxa;25. Nov 16;844;–;2%;1%;12%;2%;8%;–;–;–;–;–;13%;6%;32%;2%;22%;–
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
