Polling firm;Fieldwork date;Sample;Abs.;Arthaud;Poutou;Mélenchon;Duflot;Jadot;Hollande;Valls;Montebourg;Macron;Bayrou;Juppé;Sarkozy;Fillon;Le Maire;Kosciusko-Morizet;Copé;Dupont-Aignan;Le Pen;Cheminade
;;size;;LO;NPA;FI;EELV;EELV;PS;PS;PS;EM;MoDem;LR;LR;LR;LR;LR;LR;DLF;FN;S&P
;;;;;;;;;;;;;;;;;;;;;;
Ifop-Fiducial;16–17 Nov 2016;979;–;0.5%;1.5%;13%;–;2.5%;9%;–;–;14%;–;26%;–;–;–;–;–;3%;30%;0.5%
;;;;1%;1.5%;13%;–;2.5%;9%;–;–;16%;8.5%;–;17.5%;–;–;–;–;3%;28%;<0.5%
;;;;1%;1.5%;13%;–;3%;10%;–;–;15%;5.5%;–;–;20%;–;–;–;2%;29%;<0.5%
Ipsos;8–13 Nov 2016;12,378;–;1.5%;1.5%;14%;–;4%;10%;–;–;–;–;36%;–;–;–;–;–;4%;29%;<0.5%
;;;;1.5%;1.5%;14%;–;4%;12%;–;–;–;12%;–;22%;–;–;–;–;4%;29%;<0.5%
;;;;1.5%;1.5%;14%;–;4%;–;12%;–;–;–;34%;–;–;–;–;–;4%;29%;<0.5%
;;;;1.5%;1.5%;14%;–;4%;–;14%;–;–;11%;–;21%;–;–;–;–;4%;29%;<0.5%
;;;;1.5%;1.5%;13%;–;3%;9%;–;–;10%;–;31%;–;–;–;–;–;4%;27%;<0.5%
Kantar Sofres;21–23 Oct 2016;1,005;25%;1%;2%;14.5%;–;2%;12%;–;–;–;–;34%;–;–;–;–;–;5%;29%;0.5%
;;;;1.5%;1.5%;15.5%;–;2%;13%;–;–;–;11.5%;–;22%;–;–;–;–;4.5%;28%;0.5%
;;;;0.5%;2%;13%;–;1.5%;9%;–;–;14%;–;28%;–;–;–;–;–;4%;28%;<0.5%
;;;;0.5%;1.5%;13.5%;–;1.5%;10%;–;–;15%;8%;–;20%;–;–;–;–;4%;26%;<0.5%
;;;;1%;2%;14%;–;2%;11%;–;–;18%;–;–;21%;–;–;–;–;4%;27%;<0.5%
;;;;1.5%;2%;15%;–;2%;–;13%;–;–;–;33%;–;–;–;–;–;4%;29%;0.5%
;;;;1.5%;1.5%;13%;–;1.5%;–;9%;–;14%;–;28%;–;–;–;–;–;3%;28%;0.5%
