Jahr;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH;D
1991;241.787;262.142;67.843;19.563;18.745;61.145;150.118;14.070;143.341;379.622;75.795;21.269;36.476;20.337;50.622;16.927;1.579.800
1992;254.933;281.958;74.699;24.316;19.318;63.393;158.449;17.332;152.303;400.291;79.385;22.103;45.206;25.420;53.626;22.588;1.695.320
1993;253.366;287.715;80.357;29.691;19.293;65.896;161.499;20.793;155.857;403.742;79.689;21.825;54.870;31.246;54.975;27.736;1.748.550
1994;262.749;298.661;83.168;34.316;19.959;67.958;166.003;24.137;162.541;416.209;82.818;22.859;63.700;35.987;56.819;32.408;1.830.290
1995;272.402;307.792;85.736;37.807;20.403;69.730;170.870;26.416;164.685;431.311;86.141;23.852;70.174;38.290;58.977;34.295;1.898.880
1996;277.454;313.362;84.987;39.674;20.466;71.354;175.247;27.414;165.740;432.774;86.248;23.276;72.836;39.942;59.926;35.619;1.926.320
1997;283.106;321.244;83.729;40.490;21.110;73.951;178.951;27.859;168.968;443.231;88.933;23.759;72.809;40.922;61.259;36.769;1.967.090
1998;291.678;334.700;83.970;41.468;21.349;75.811;182.634;28.013;174.615;454.786;89.919;24.183;73.889;41.423;62.047;37.744;2.018.230
1999;301.388;345.226;84.566;43.350;21.416;76.488;189.911;28.826;178.370;459.292;92.253;24.599;75.477;41.984;62.721;39.013;2.064.880
2000;309.550;358.740;85.336;44.685;22.361;78.127;194.512;29.127;183.839;468.890;94.125;25.412;75.524;42.430;64.149;39.673;2.116.480
2001;323.511;372.528;86.183;45.794;23.156;82.478;201.620;29.598;187.043;479.665;94.491;25.970;77.959;43.063;66.096;40.696;2.179.850
2002;325.818;381.649;86.306;46.392;23.822;83.916;202.722;29.883;185.888;488.169;96.577;25.990;80.866;44.607;65.344;41.342;2.209.290
2003;328.749;378.328;85.474;46.715;24.438;84.234;207.924;30.136;186.701;488.368;97.106;26.233;82.509;44.905;66.125;42.136;2.220.080
2004;332.697;390.623;85.407;47.956;24.694;86.052;210.666;30.639;191.536;501.679;100.165;27.367;84.730;45.769;67.571;43.067;2.270.620
2005;336.269;396.911;87.254;48.716;25.108;87.944;212.255;30.830;195.794;508.544;100.804;28.726;84.653;45.864;68.041;43.147;2.300.860
2006;356.956;412.903;90.412;50.820;26.285;89.173;218.924;31.670;204.466;525.442;104.636;29.896;88.779;47.899;70.119;44.869;2.393.250
2007;377.127;433.563;94.675;53.004;27.286;92.387;227.463;33.485;213.418;558.003;109.449;31.353;92.954;50.153;71.984;46.928;2.513.230
2008;381.486;436.933;99.302;54.884;27.652;95.145;230.569;34.452;219.223;572.389;111.340;31.730;93.981;50.869;74.363;47.423;2.561.740
2009;355.496;426.706;99.267;53.627;25.162;91.715;219.496;34.101;209.828;550.378;108.359;28.690;91.168;48.530;72.241;45.513;2.460.280
2010;384.913;450.203;103.292;56.034;26.719;94.578;227.171;34.969;222.851;566.173;114.338;30.295;95.053;51.350;73.898;48.225;2.580.060
2011;405.955;480.472;108.143;57.740;27.665;95.872;235.576;36.263;235.886;588.785;119.608;32.033;99.510;52.042;76.597;50.972;2.703.120
2012;413.689;494.015;109.910;58.993;28.871;98.017;238.020;36.710;241.513;596.332;122.724;32.277;101.520;54.220;79.837;51.612;2.758.260
2013;424.264;509.084;112.603;60.781;29.167;102.233;243.829;38.054;245.571;608.826;125.262;31.975;104.223;55.178;81.480;53.712;2.826.240
2014;440.344;529.608;117.817;63.499;30.078;104.901;253.678;39.195;253.947;630.225;129.811;33.429;109.097;56.151;84.211;56.478;2.932.470
2015;464.455;552.760;124.401;65.200;31.151;110.246;260.297;40.201;258.481;649.991;135.558;34.309;113.979;57.729;86.689;58.204;3.043.650
2016;476.274;569.810;130.537;66.942;32.056;112.959;269.440;41.019;276.270;668.912;138.500;34.331;118.199;59.078;89.825;59.898;3.144.050
2017;493.265;594.447;136.614;69.132;33.662;117.572;279.085;42.783;287.959;691.518;144.308;35.300;121.738;60.695;93.367;61.906;3.263.350
2018;510036,01;621791,562;142761,63;72173,808;34974,818;121804,592;287736,635;43938,141;296021,852;715721,13;151667,708;36217,8;126729,258;62455,155;96261,377;64072,71;3384093,95
