Land	Kabinett	Amtszeit-Jahr	Amtszeit-Datum	Beteiligte Parteien	Ministerpräsident
baden-wuerttemberg	Kabinett Maier	1952–1953		SPD, FDP/DVP, BHE	Reinhold Maier (FDP/DVP)
baden-wuerttemberg	Kabinett Müller I	1953–1956		CDU, SPD, FDP/DVP, BHE	Gebhard Müller (CDU)
baden-wuerttemberg	Kabinett Müller II	1956–1958		CDU, SPD, FDP/DVP, GB/BHE	Gebhard Müller (CDU)
baden-wuerttemberg	Kabinett Kiesinger I	1958–1960		CDU, SPD, FDP/DVP, GB/BHE	Kurt Georg Kiesinger (CDU)
baden-wuerttemberg	Kabinett Kiesinger II	1960–1964		CDU, FDP/DVP, GB/BHE3	Kurt Georg Kiesinger (CDU)
baden-wuerttemberg	Kabinett Kiesinger III	1964–1966		CDU, FDP/DVP	Kurt Georg Kiesinger (CDU)
baden-wuerttemberg	Kabinett Filbinger I	1966–1968		CDU, SPD	Hans Filbinger (CDU)
baden-wuerttemberg	Kabinett Filbinger II	1968–1972		CDU, SPD	Hans Filbinger (CDU)
baden-wuerttemberg	Kabinett Filbinger III	1972–1976		CDU	Hans Filbinger (CDU)
baden-wuerttemberg	Kabinett Filbinger IV	1976–1978		CDU	Hans Filbinger (CDU)
baden-wuerttemberg	Kabinett Späth I	1978–1980		CDU	Lothar Späth (CDU)
baden-wuerttemberg	Kabinett Späth II	1980–1984		CDU	Lothar Späth (CDU)
baden-wuerttemberg	Kabinett Späth III	1984–1988		CDU	Lothar Späth (CDU)
baden-wuerttemberg	Kabinett Späth IV	1988–1991		CDU	Lothar Späth (CDU)
baden-wuerttemberg	Kabinett Teufel I	1991–1992		CDU	Erwin Teufel (CDU)
baden-wuerttemberg	Kabinett Teufel II	1992–1996		CDU, SPD	Erwin Teufel (CDU)
baden-wuerttemberg	Kabinett Teufel III	1996–2001		CDU, FDP/DVP	Erwin Teufel (CDU)
baden-wuerttemberg	Kabinett Teufel IV	2001–2005		CDU, FDP/DVP	Erwin Teufel (CDU)
baden-wuerttemberg	Kabinett Oettinger I	2005–2006		CDU, FDP/DVP	Günther Oettinger (CDU)
baden-wuerttemberg	Kabinett Oettinger II	2006–2010		CDU, FDP/DVP	Günther Oettinger (CDU)
